"Awarding Agency:","Tender Package No:","Tender Type:","Contract Type:","Lot #:","Tender Description:","Approval Auth:","Justification:","Contract Date:","Delivery / Completion Date:","Contract Currency:","Contract Award Price:","Contract Awarded To:","Company Email:","Company Address:","Company Tel:","Supplier #:"
"Ghana Cocoa Board","COCOBOD/DFR/AHAFO/UPG/RT/2020/LOT NO.1","-","Restricted Tender","1","CONTRACT FOR UPGRADING OF BOMAA-DWENASE FEEDER ROAD (17.00KM),AHAFO REGION","Central Tender Review Committee","40 (1)b - Urgency","30th September, 2020","23rd May, 2022","Ghana Cedi","Gh¢20857008.44","OTU BOAT LIMITED","","","","-"
"Ghana Cocoa Board","COCOBOD/DFR/AHAFO/UPG/RT/2020/LOT NO.2","-","Restricted Tender","1","CONTRACT FOR UPGRADING OF ASUOSO-DERMA-TECHMANTIA FEEDER ROAD PH.III (6.50KM), AHAFO REGION","Central Tender Review Committee","40 (1)b - Urgency","09th September, 2020","03rd November, 2021","Ghana Cedi","Gh¢8956157.84","Reggio Company Limited","0","P. O. Box, Accra","0","-"
"Ghana Cocoa Board","COCOBOD/DFR/AHAFO/UPG/RT/2020/03","-","Restricted Tender","1","CONTRACT FOR UPGRADING OF AKRODIE CHIEF CAMP (5.50) & CHIEF CAMP-MENSAHKROM (7.80KM) NO.69 FEEDER ROAD (13.30KM),AHAFO REGION","Central Tender Review Committee","40 (1)b - Urgency","30th September, 2020","23rd May, 2022","Ghana Cedi","Gh¢26813669.93","J. ADOM LIMITED","","","","-"
"Ghana Cocoa Board","COCOBOD/DFR/AHAFO/UPG/RT/2020/LOT NO.4","-","Restricted Tender","1","CONTRACT FOR UPGRADING OF KWAPONG JN.-CHIEF CAMP FEEDER ROAD (11.50KM),NO.72,AHAFO REGION","Central Tender Review Committee","40 (1)b - Urgency","30th September, 2020","23rd May, 2022","Ghana Cedi","Gh¢23679881.64","TRADE VISION LIMITED","","","","-"
"Ghana Cocoa Board","COCOBOD/DFR/CR/UPG/SS/2021/07","-","Restricted Tender","1","CONTRACT FOR UPGRADING OF AYOMSO-GYASIKROM KOFIEFEI OGYAM JUNCTION FEEDER ROAD (10.00KM),AHAFO REGION","Central Tender Review Committee","40 (1)b - Urgency","30th September, 2020","23rd May, 2022","Ghana Cedi","Gh¢28255000.00","BOATWAY COMPANY LIMITED","","","","-"
"Ghana Cocoa Board","COCOBOD/DFR/AHAFO/UPG/B1/2019/ LOT NO.05","-","Restricted Tender","1","CONTRACT FOR UPGRADING OF ADROBAA-SUBRISO MANKRANG CHIRAA-SUKUUMU FEEDER ROAD (10.20KM),AHAFO REGION","Central Tender Review Committee","40 (1)b - Urgency","09th February, 2020","01st October, 2021","Ghana Cedi","Gh¢26954185.20","JALEXBERG LIMITED","","","","-"
"Ghana Cocoa Board","COCOBOD/DFR/AHAFO/UPG/RT/2020/08","-","Restricted Tender","1","CONTRACT FOR UPGRADING OF ASUOSO-DERMA-TECHIMANTIA FEEDER ROAD PH.IV (19.50-26.00KM), AHAFO REGION","Central Tender Review Committee","40 (1)b - Urgency","09th September, 2020","03rd November, 2021","Ghana Cedi","Gh¢14304032.53","BOATWAY COMPANY LIMITED","","","","-"
"Ghana Cocoa Board","COCOBOD/DFR/BONO/UPG/RT/2020/LOT NO.I","-","Restricted Tender","1","CONTRACT FOR UPGRADING OF KWEKUANYA-KOJOKUMIKROM FEEDER ROAD PH.I (9.00KM),BONO REGION","Central Tender Review Committee","40 (1)b - Urgency","30th September, 2020","23rd May, 2022","Ghana Cedi","Gh¢17855928.00","A. A. D. COMPANY LIMITED","","","","-"
"Ghana Cocoa Board","COCOBOD/DFR/BONO/UPG/RT/2020/LOT NO.2","-","Restricted Tender","1","CONTRACT FOR UPGRADING OF KWEKUANYA-KOJOKUMIKROM FEEDER ROAD PH.II (9.00-17.00KM), BONO REGION","Central Tender Review Committee","40 (1)b - Urgency","30th September, 2020","23rd May, 2022","Ghana Cedi","Gh¢18080518.91","NEW ADVENTURE LIMITED","","","","-"
"Ghana Cocoa Board","COCOBOD/DFR/CR/UPG/SS/2021/07","-","Restricted Tender","1","CONTRACT FOR UPGRADING OF DONKOKROM-KWEKUANYA FEEDER ROAD PH.II (11.00-22.00 KM), BONO REGION","Central Tender Review Committee","40 (1)b - Urgency","30th September, 2020","23rd May, 2022","Ghana Cedi","Gh¢19580000.00","TRADE VISION LIMITED","","","","-"
"Ghana Cocoa Board","COCOBOD/DFR/CR/UPG/SS/2021/07","-","Restricted Tender","1","CONTRACT FOR UPGRADING OF NSENIE-AKONTANIN FEEDER ROAD (11.00KM),BONO REGION","Central Tender Review Committee","40 (1)b - Urgency","20th November, 2020","13th July, 2022","Ghana Cedi","Gh¢17884566.40","MYTURN LIMITED","","","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0002/21/27","-","Restricted Tender","1","NOTIFICATION OF AWARD FOR THE RENOVATION OF CAGD HEAD OFFICE ANNEX(PENSION)","Central Tender Review Committee","38(b) – Time and Cost disproportionate of value of procurement","24th December, 2021","24th March, 2022","Ghana Cedi","Gh¢1198166.56","NIMONAT LIMITED","","","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0018/21/21","-","Restricted Tender","1","PRINTING AND SUPPLY OF ELETCRONIC ON-SITE BANKING RECEIPTS FOR KORLE-BU TEACHING HOSPITAL","Entity Tender Committee","38(b) – Time and Cost disproportionate of value of procurement","22nd December, 2021","22nd January, 2022","Ghana Cedi","Gh¢1895000.00","LEGIBLE INK CONSULTS","","","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0018/21/26","-","Restricted Tender","1","PRINTING AND SUPPLY OF GENERAL COUNTERFOIL RECEIPT (GCR) BOOKS WITH HOLOGRAM FOR JUDICIAL SERVICE","Entity Tender Committee","38(b) – Time and Cost disproportionate of value of procurement","31st December, 2021","12th March, 2022","Ghana Cedi","Gh¢355250.00","SHINE PRINTS COMPANY LIMITED","","","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0018/21/22","-","Restricted Tender","1","NOTIFICATION OF AWARD PRINTING AND SUPPLY OF GOVERNMENT OF GHANA CHEQUES","Entity Tender Committee","38(b) – Time and Cost disproportionate of value of procurement","31st December, 2021","31st January, 2022","Ghana Cedi","Gh¢265190.63","CHECKPOINT GHANA LIMITED","","","","-"
"Social Security and National Insurance Trust (SSNIT)","GR/SSNIT/GD/0033/2021","-","Restricted Tender","LOT1","Fore the development of theme and concept of the calendars","ETC/PPA","38(b) – Time and Cost disproportionate of value of procurement","26th July, 2021","25th October, 2021","Ghana Cedi","Gh¢59365.04","SUPREME CONCEPT CO. LTD","","P. O. BOX KB 182 KORLE- BU, ACCRA","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0018/21/18","-","Restricted Tender","1","PRINTING AND SUPPLY OF GENERAL COUNTERFOIL RECEIPT (GCR) BOOKS FOR MINISTRY OF HEALTH","Central Tender Review Committee","38(b) – Time and Cost disproportionate of value of procurement","21st February, 2022","31st March, 2022","Ghana Cedi","Gh¢1049000.00","JAMAD PRINTING PRESS LIMITED","","","","-"
"Social Security and National Insurance Trust (SSNIT)","PM/SSA/036/V8/16","-","Restricted Tender","","Procurement of 12no. Hp Spectre 13*360 Laptops for the Trust","ETC/PPA","40 (1)b - Urgency","16th September, 2021","30th September, 2021","Ghana Cedi","Gh¢162000.00","IT Market LTD","","P.O, Box KD 759 Kanda - Accra","","-"
"Social Security and National Insurance Trust (SSNIT)","GR/SSNIT/0033/2021","-","Restricted Tender","","Calendars for 2022","ETC/PPA","40 (1)b - Urgency","18th January, 2022","25th February, 2022","Ghana Cedi","Gh¢354959.55","Bulk Press Ltd","0","P. O. Box AN 12321 Accra, Ghana","0","-"
"Controller And Accountant General Department","GR/CAGD/GD/0018/22/01","-","Restricted Tender","1","PRINTING AND SUPPLY OF LORRY PARK TICKETS","Entity Tender Committee","38(b) – Time and Cost disproportionate of value of procurement","07th April, 2022","09th May, 2022","Ghana Cedi","Gh¢630000.00","CHECKPOINT GHANA LIMITED","","","","-"
"Foods and Drugs Authority","FDA/PSD/2021/A.12.9/RT-0052(06)","-","Restricted Tender","1","6th Call-Off for the engagement of an insurance firm for the provision of comprehensive motor vehicle insurance and third party liability cover for the Food and Drugs Authority.","PPA/CTRC","38(b) – Time and Cost disproportionate of value of procurement","11th January, 2022","11th January, 2022","Ghana Cedi","Gh¢99710.88","VANGUARD ASSURANCE COMPANY LIMITED","","","","-"
"Foods and Drugs Authority","FDA/PSD/2021/A.12.9/RT-0052 (07)","-","Restricted Tender","","7th Call-Off for the engagement of an insurance firm for the provision of comprehensive motor vehicle insurance and third party liability cover for the Food and Drugs Authority.","HEAD OF ENTITY","38(b) – Time and Cost disproportionate of value of procurement","12th April, 2021","12th July, 2022","Ghana Cedi","Gh¢14293.13","VANGUARD ASSURANCE COMPANY LIMITED","","","","-"
"Foods and Drugs Authority","FDA/PSD/2021/B.10/RT-0138","-","Restricted Tender","1-17","Framework Agreement for the supply of food products to the Food and Drugs Authority","PPA/CTRC","38(b) – Time and Cost disproportionate of value of procurement","15th December, 2021","15th December, 2024","Ghana Cedi","Gh¢7335233.43","Empire Power Limited","gmail_master@yahoo.com","P. O. Box DK 1138","0302956497","-"
"Foods and Drugs Authority","FDA/PSD/2021/B.10/RT-0138 (01)","-","Restricted Tender","","1st Call-Off for the supply of food products to the Food and Drugs Authority","Central Tender Review Committee","38(b) – Time and Cost disproportionate of value of procurement","17th December, 2021","17th March, 2022","Ghana Cedi","Gh¢1822095.97","BENGEO EMPIRE LIMITED","","","","-"
"Foods and Drugs Authority","FDA/PSD/2021/B.10/RT-0138 (02)","-","Restricted Tender","","2ndCall-Off for the supply of food products to the Food and Drugs Authority","HEAD OF ENTITY","38(b) – Time and Cost disproportionate of value of procurement","31st December, 2021","31st March, 2022","Ghana Cedi","Gh¢64359.36","Empire Power Limited","gmail_master@yahoo.com","P. O. Box DK 1138","0302956497","-"
"Foods and Drugs Authority","FDA/PSD/2021/B.10/RT-0138 (03))","-","Restricted Tender","","3rd Call-Off for the supply of food products to the Food and Drugs Authority","Central Tender Review Committee","38(b) – Time and Cost disproportionate of value of procurement","31st December, 2021","31st March, 2022","Ghana Cedi","Gh¢76960.00","Empire Power Limited","gmail_master@yahoo.com","P. O. Box DK 1138","0302956497","-"
"Foods and Drugs Authority","FDA/PSD/2021/B.10/RT-0138 (04))","-","Restricted Tender","","4th Call-Off for the supply of food products to the Food and Drugs Authority","HEAD OF ENTITY","38(b) – Time and Cost disproportionate of value of procurement","31st December, 2021","31st December, 2022","Ghana Cedi","Gh¢33115.89","Empire Power Limited","gmail_master@yahoo.com","P. O. Box DK 1138","0302956497","-"
"Bulk Oil Storage and Transportation","GR/BOST/TS/0002/2021","-","Restricted Tender","","Rehabilitation and cleaning of Buipe-Bolga right of way & Tema-Akosombo Pipeline","ETC/PPA","40 (1)b - Urgency","11th December, 2021","04th February, 2022","Ghana Cedi","Gh¢1228275.00","IAKO CONSULT","","","","-"
"Bulk Oil Storage and Transportation","GR/BOST/TS/000","-","Restricted Tender","","Repair,Sandblasting and  Painting of Tanks(T101, T102 & T103) AT Kumasi Depo","ETC/PPA","40 (1)b - Urgency","15th March, 2021","07th May, 2021","Ghana Cedi","Gh¢199750.00","Kent Engineering Limited","0","P. O. Box Cs 570 Tema","0","-"
"Bulk Oil Storage and Transportation","GR/BOST/TS/0007/2021","-","Restricted Tender","","Repair,Sandblasting and  Painting of Tanks(T101, T102 & T103) AT Kumasi Depo","ETC/PPA","40 (1)b - Urgency","21st October, 2021","07th December, 2021","Ghana Cedi","Gh¢12945203.00","BENTRY COMPANY LIMITRD","","","","-"
"Bulk Oil Storage and Transportation","GR/BOST/GD/0009/2021","-","Restricted Tender","","Supply of personal  Protective equipment","ETC/PPA","40 (1)b - Urgency","15th September, 2021","15th October, 2021","Ghana Cedi","Gh¢34750287.00","TBC Intense Limited","0","P. O. Box CT 203, Cantonments, Accra","0","-"
"Bulk Oil Storage and Transportation","GR/BOST/TS/0016/2021","-","Restricted Tender","","Staff Medical Insurance","ETC/PPA","40 (1)b - Urgency","10th October, 2021","09th October, 2022","Ghana Cedi","Gh¢1496950.00","Apex Health Insurance","0","P. O. Box St 237 East Legon, Accra","0","-"
"Bulk Oil Storage and Transportation","GR/BOST/CS/0005/2021","-","Restricted Tender","","FEED for LPG StoRage Terminal at Tema,Takoradi, Kumasi and Buipe","ETC/PPA","72 (5) (b) - Consultant / Urgency ( 40) (1) (b)","01st October, 2021","08th August, 2022","Ghana Cedi","Gh¢1201914906.00","Roberts and Murray","0","P. O. Box 135, Accra","0","-"
"Ghana Ports And Harbours Authority","GR/GPHA/GD/0104/2020","-","Restricted Tender","1","FIRE EQUIPMENT ECTRICAL HOSE TESTING PUMP","Entity Tender Committee","40 (1)a - Proprietary","12th July, 2021","01st December, 2021","Ghana Cedi","Gh¢51273.28","Gworld Ghana Ltd","0","Osu Accra","0","-"
"Ghana Ports And Harbours Authority","GR/GPHA/GD/0173/2020","-","Restricted Tender","6","SUPPLY OF ELECTRIC HOSE BINDING MACHINE","HEAD OF ENTITY","40 (1)b - Urgency","12th July, 2021","01st December, 2021","Ghana Cedi","Gh¢91739.77","Gworld Ghana Ltd","0","Osu Accra","0","-"
"Ghana Ports And Harbours Authority","IND.182/MAT.DEPT/TM/21","-","Restricted Tender","3","PROCUREMENT OF PERSONAL PROTECTIVE EQUIPMENT SAFETY BOOT OPERATION STAFF","Entity Tender Committee","40 (1)b - Urgency","29th April, 2022","05th April, 2022","Ghana Cedi","Gh¢128419.20","JSL COMPANY LIMITED","","","","-"
"Ghana Ports And Harbours Authority","GR/GPHA/GD/0060/20","-","Restricted Tender","1","ONE SET FOUR LIFTER","Entity Tender Committee","40 (1)a - Proprietary","19th April, 2021","29th August, 2021","Ghana Cedi","Gh¢302487.77","Gworld Ghana Ltd","0","Osu Accra","0","-"
"Ghana Ports And Harbours Authority","GR/GPHA/GD/0064/2020","-","Restricted Tender","9","SUPPLY OF AIR COMPRESSOR WITH JACK HAMEER & ACCESSORIES FOR TAKORADI PORT","Entity Tender Committee","40 (1)a - Proprietary","13th July, 2021","22nd July, 2021","Ghana Cedi","Gh¢159006.36","Gworld Ghana Ltd","0","Osu Accra","0","-"
"Ghana Ports And Harbours Authority","IND.312/FIRE.SAFETY","-","Restricted Tender","1","FIRE FIGHTING FOAM CONCENTRATE","Entity Tender Committee","40 (1)b - Urgency","29th June, 2020","30th December, 2020","Ghana Cedi","Gh¢289971.57","AFRITECH TECHNOLOGY SOLUTIONS LIMITED","","","","-"
"Ghana Ports And Harbours Authority","GR/GPHA/GD/0101/2020","-","Restricted Tender","4","SUPPLY OF HYDROTEST MACHINE","Entity Tender Committee","40 (1)a - Proprietary","13th July, 2021","01st December, 2021","Ghana Cedi","Gh¢280879.93","Gworld Ghana Ltd","0","Osu Accra","0","-"
"Ghana Ports And Harbours Authority","GR/GPHA/GD/0098/2020","-","Restricted Tender","3","DRY POWDER FILLING EQUIPMEMT","Entity Tender Committee","40 (1)b - Urgency","13th July, 2021","01st December, 2021","Ghana Cedi","Gh¢270431.15","Gworld Ghana Ltd","0","Osu Accra","0","-"
"Ghana Ports And Harbours Authority","GR/GPHA/0022/2019","-","Restricted Tender","1","PROCUREMENT OF LIGHT DUTY TRUCK (DOUBLE CABIN)","Entity Tender Committee","40 (1)b - Urgency","13th November, 2020","28th August, 2020","Ghana Cedi","Gh¢249255.00","TOYOTA GHANA COMPANY LIMITED","","","","-"
"Ghana Ports And Harbours Authority","IND.318/MECH.ENG/TM/19","-","Restricted Tender","1","PROCUREMENT OF VEHICLES ( TOYOTA LANDCRUISER TOYOTA PRADO AND FORTUNER","Entity Tender Committee","40 (1)d - Standardization/Compatibility/Limited Size","25th March, 2020","23rd October, 2020","Ghana Cedi","Gh¢1375259.20","TOYOTA GHANA COMPANY LIMITED","","","","-"
"Bank of Ghana","N/A","-","Restricted Tender","N/A","PROCUREMENT OF POWER MODULES FOR THE OPERATIONS OF THE BANK","ETC/PPA","40 (1)b - Urgency","20th June, 2022","19th August, 2022","Ghana Cedi","Gh¢849616.18","APOTICA COMPANY LIMITED","","","","-"
"Bank of Ghana","N/A","-","Restricted Tender","N/A","PROCUREMENT OF 3 TOYOTA HILUX PICK-UPS FOR THE OPERATIONS OF THE BANK","ETC/PPA","40 (1)b - Urgency","19th May, 2022","18th August, 2022","Ghana Cedi","Gh¢1294344.00","GEMOTECH GHANA LIMITED","","","","-"
"Ministry of Food and Agriculture","MOFA/GOG/GDS/APD/RCT/2020/01","-","Restricted Tender","","Supply of locally assembled vehicles","ETC/PPA","40 (1)a - Proprietary","17th December, 2020","26th February, 2021","Ghana Cedi","Gh¢822892.00","UNIVERSAL MOTORS LIMITED","","","","-"
"Ghana Prisons Service","GHPRS/GR/020/2022","-","Restricted Tender","","Office Sofa, Writing Desk, Swivel Chair, WorkStation, Woolen Carpet, Vinyl Carpet.","Entity Tender Committee","38(b) – Time and Cost disproportionate of value of procurement","22nd July, 2022","21st September, 2022","Ghana Cedi","Gh¢199940.00","GRACE-FILLED VENTURES","","","","-"
"Ghana Prisons Service","GHPRS/GR/019/2022","-","Restricted Tender","","Desktop Computer, Printers, Air Conditioner, Photocopier","Entity Tender Committee","38(b) – Time and Cost disproportionate of value of procurement","22nd July, 2022","21st September, 2022","Ghana Cedi","Gh¢19907.13","IT Market LTD","","P.O, Box KD 759 Kanda - Accra","","-"
"Electoral Commission","GR/ECGH/GD/0042/2020","-","Restricted Tender","","Thumbprints pads","Central Tender Review Committee","40 (1)d - Standardization/Compatibility/Limited Size","09th April, 2020","09th July, 2020","Ghana Cedi","Gh¢1718100.00","DITRAC LIMITED","","","","-"
"Electoral Commission","GR/ECGH/GD/0043/2020","-","Restricted Tender","","Cold Laminates","Central Tender Review Committee","40 (1)d - Standardization/Compatibility/Limited Size","09th April, 2020","09th May, 2020","Ghana Cedi","Gh¢8800000.00","NEL SUPPLIES LIMITED","","","","-"
"Electoral Commission","GR/ECGH/GD/0040/2020","-","Restricted Tender","","Form 1A","Central Tender Review Committee","40 (1)d - Standardization/Compatibility/Limited Size","09th April, 2020","25th April, 2020","Ghana Cedi","Gh¢12000000.00","BUCK PRESS LIMITED","","","","-"
"Electoral Commission","GR/ECGH/GD/0059/2020","-","Restricted Tender","","Printing of 1,800,000 copies","Central Tender Review Committee","40 (1)d - Standardization/Compatibility/Limited Size","09th April, 2020","09th April, 2020","Ghana Cedi","Gh¢5400000.00","BUCK PRESS LIMITED","","","","-"
"Electoral Commission","GR/ECGH/GD/0039/2020","-","Restricted Tender","","Printing of Captured voter information 1C","Central Tender Review Committee","40 (1)d - Standardization/Compatibility/Limited Size","09th April, 2020","09th April, 2020","Ghana Cedi","Gh¢12000000.00","ACTS COMMERCIALS LIMITED","","","","-"
"Electoral Commission","GR/ECGH/GD/0018/2020","-","Restricted Tender","","Printing of Registration Team Details 2A","HEAD OF ENTITY","40 (1)d - Standardization/Compatibility/Limited Size","09th April, 2020","09th April, 2020","Ghana Cedi","Gh¢10000.00","JUSTDAN COMPANY LIMITED","","","","-"
"Electoral Commission","GR/ECGH/GD/41/2020","-","Restricted Tender","","printing of registration call sheet 3A","HEAD OF ENTITY","40 (1)d - Standardization/Compatibility/Limited Size","09th April, 2020","25th April, 2020","Ghana Cedi","Gh¢10000.00","JUSTDAN COMPANY LIMITED","","","","-"
"Electoral Commission","GR/ECGH/GD/0039/2020","-","Restricted Tender","7","Printing of Notice of Poll","ETC/PPA","40 (1)d - Standardization/Compatibility/Limited Size","26th October, 2020","05th November, 2020","Ghana Cedi","Gh¢331650.00","INNOLINK LIMITED","","","","-"
"Electoral Commission","GR/ECGH/GD/0039/2020","-","Restricted Tender","6","Printing of Notice of Poll","Entity Tender Committee","40 (1)d - Standardization/Compatibility/Limited Size","26th October, 2020","05th November, 2020","Ghana Cedi","Gh¢277200.00","ACTS COMMERCIALS LIMITED","","","","-"
"Electoral Commission","GR/ECGH/GD/0039/2020","-","Restricted Tender","5","Printing of Notice of Poll","Entity Tender Committee","40 (1)d - Standardization/Compatibility/Limited Size","26th October, 2020","05th November, 2020","Ghana Cedi","Gh¢173250.00","FONSTAT LIMITED","","","","-"
"Electoral Commission","GR/ECGH/GD/0039/2020","-","Restricted Tender","4","Printing of various quantities of Notice of Poll","Entity Tender Committee","40 (1)d - Standardization/Compatibility/Limited Size","26th October, 2020","05th November, 2020","Ghana Cedi","Gh¢143550.00","CHECKPOINT GHANA LIMITED","","","","-"
"Electoral Commission","GR/ECGH/GD/0039/2020","-","Restricted Tender","3","Printing of various Notice of Poll","Entity Tender Committee","40 (1)d - Standardization/Compatibility/Limited Size","26th October, 2020","26th October, 2020","Ghana Cedi","Gh¢84150.00","Yasarko press Ltd","Yasarko@yahoo.com","n/a","n/a","-"
"Electoral Commission","GR/ECGH/GD/0039/2020","-","Restricted Tender","2","Printing of various Notice of poll","Entity Tender Committee","40 (1)d - Standardization/Compatibility/Limited Size","26th October, 0220","05th November, 2020","Ghana Cedi","Gh¢257400.00","BUCK PRESS LIMITED","","","","-"
"Electoral Commission","GR/ECGH/GD/0039/2020","-","Restricted Tender","1","Printing of Notice of poll","Entity Tender Committee","40 (1)d - Standardization/Compatibility/Limited Size","26th October, 2020","05th November, 2020","Ghana Cedi","Gh¢94050.00","GHANA PUBLISHING COMPANY LIMITED","","","","-"
"Electoral Commission","GR/ECGH/GD/0002/2020","-","Restricted Tender","","Printing of Additional Notice of Poll","Entity Tender Committee","40 (1)d - Standardization/Compatibility/Limited Size","03rd November, 2020","15th November, 2020","Ghana Cedi","Gh¢221100.00","INNOLINK LIMITED","","","","-"
"Electoral Commission","GR/ECGH/GD/0002/2020","-","Restricted Tender","","Printing of Additional Poll","Entity Tender Committee","40 (1)d - Standardization/Compatibility/Limited Size","03rd November, 2020","15th November, 2020","Ghana Cedi","Gh¢190400.00","ACTS COMMERCIALS LIMITED","","","","-"
"Electoral Commission","GR/ECGH/GD/0002/2020","-","Restricted Tender","","Printing of Additional Notice of Poll","Entity Tender Committee","40 (1)d - Standardization/Compatibility/Limited Size","03rd November, 2020","03rd November, 2020","Ghana Cedi","Gh¢115500.00","FONSTAT LIMITED","","","","-"
"Electoral Commission","GR/ECGH/GD/0002/2020","-","Restricted Tender","","Printing of Additional Notice of Poll","Entity Tender Committee","40 (1)d - Standardization/Compatibility/Limited Size","03rd November, 2020","15th November, 2020","Ghana Cedi","Gh¢115500.00","FONSTAT LIMITED","","","","-"
"Electoral Commission","GR/ECGH/GD/0002/2020","-","Restricted Tender","","Printing of Additional Notice of Poll","Entity Tender Committee","40 (1)d - Standardization/Compatibility/Limited Size","03rd November, 2020","15th November, 2020","Ghana Cedi","Gh¢171600.00","BUCK PRESS LIMITED","","","","-"
"Electoral Commission","GR/ECGH/GD/0002/2020","-","Restricted Tender","","Printing of Additional Notice of Poll","HEAD OF ENTITY","40 (1)d - Standardization/Compatibility/Limited Size","03rd November, 2020","05th November, 2020","Ghana Cedi","Gh¢62700.00","GHANA PUBLISHING COMPANY LIMITED","","","","-"
"Electoral Commission","GR/ECGH/GD/0039/2020","-","Restricted Tender","2a","Printing of Additional Notice of Poll","HEAD OF ENTITY","40 (1)d - Standardization/Compatibility/Limited Size","03rd November, 2020","15th November, 2020","Ghana Cedi","Gh¢95700.00","CHECKPOINT GHANA LIMITED","","","","-"
"Electoral Commission","GR/ECGH/GD/0039/2020","-","Restricted Tender","8","Printing of Additional Notice of Poll","HEAD OF ENTITY","40 (1)d - Standardization/Compatibility/Limited Size","03rd November, 2020","15th November, 2020","Ghana Cedi","Gh¢56100.00","Yasarko press Ltd","Yasarko@yahoo.com","n/a","n/a","-"
"Electoral Commission","GR/ECGH/GD/0038/20","-","Restricted Tender","7","Printing of Ballot Papers","Central Tender Review Committee","40 (1)d - Standardization/Compatibility/Limited Size","17th November, 2020","27th November, 2020","Ghana Cedi","Gh¢767096.40","GHANA PUBLISHING COMPANY LIMITED","","","","-"
"Electoral Commission","GR/ECGH/GD/0038/2020","-","Restricted Tender","6","Printing of Ballot Papers","Central Tender Review Committee","40 (1)d - Standardization/Compatibility/Limited Size","17th November, 0202","27th November, 2020","Ghana Cedi","Gh¢995052.80","Yasarko press Ltd","Yasarko@yahoo.com","n/a","n/a","-"
"Electoral Commission","GR/ECGH/GD/0038/2020","-","Restricted Tender","5","Printing of Ballot Papers","Central Tender Review Committee","40 (1)d - Standardization/Compatibility/Limited Size","17th November, 2020","17th November, 2020","Ghana Cedi","Gh¢1381269.40","CHECKPOINT GHANA LIMITED","","","","-"
"Electoral Commission","GR/ECGH/GD/0038/2020","-","Restricted Tender","4","Printing of Ballot papers","Central Tender Review Committee","40 (1)d - Standardization/Compatibility/Limited Size","17th November, 2020","17th November, 2020","Ghana Cedi","Gh¢1863880.20","FONSTAT LIMITED","","","","-"
"Electoral Commission","GR/ECGH/GD/0038/2020","-","Restricted Tender","3","Printing of Ballot Papers","Central Tender Review Committee","40 (1)d - Standardization/Compatibility/Limited Size","17th November, 2020","27th November, 2020","Ghana Cedi","Gh¢2263184.00","ACTS COMMERCIALS LIMITED","","","","-"
"Electoral Commission","GR/ECGH/GD/0038/2020","-","Restricted Tender","2","Printing of Ballot papers","Central Tender Review Committee","40 (1)d - Standardization/Compatibility/Limited Size","17th November, 2020","27th November, 2020","Ghana Cedi","Gh¢3334612.40","INNOLINK LIMITED","","","","-"
"Electoral Commission","GR/ECGH/GD/0038/2020","-","Restricted Tender","1","Printing of Ballot papers","Central Tender Review Committee","40 (1)d - Standardization/Compatibility/Limited Size","17th November, 2020","27th November, 2020","Ghana Cedi","Gh¢3697587.60","BUCK PRESS LIMITED","","","","-"
"Electoral Commission","GR/ECGH/GD/0051/2020","-","Restricted Tender","","Validation stamp","Central Tender Review Committee","40 (1)d - Standardization/Compatibility/Limited Size","17th November, 2020","27th November, 2020","Ghana Cedi","Gh¢2330000.00","RANSBOAT AND COMPANY LTD.","","","","-"
"Electoral Commission","GR/ECGH/GD/0001/2020","-","Restricted Tender","","Re-printing of Notice of Poll ( Awutu Senya west constituency)","HEAD OF ENTITY","40 (1)d - Standardization/Compatibility/Limited Size","30th November, 2020","02nd December, 2020","Ghana Cedi","Gh¢1950.00","FONSTAT LIMITED","","","","-"
"Electoral Commission","GR/ECGH/GD/0034/2020","-","Restricted Tender","1","Accreditation Cards","Central Tender Review Committee","40 (1)b - Urgency","24th July, 2020","27th November, 2020","Ghana Cedi","Gh¢1976750.00","Pagelinks Limited","0","0","0","-"
"Quality Control Company Limited","GR/GCB-QCC/WK/0001/2021/01","-","Restricted Tender","1","Construction of a district Office at Nyinahin -Ashanti Region","ETC/PPA","38(b) – Time and Cost disproportionate of value of procurement","11th August, 2022","13th February, 2023","Ghana Cedi","Gh¢1486587.93","C GIANT ENTERPRISE","","","","-"
"Electoral Commission","GR/ECGH/GD/0068/2020","-","Restricted Tender","1","Perfumed Rice","Entity Tender Committee","40 (1)b - Urgency","24th December, 2020","28th December, 2020","Ghana Cedi","Gh¢544350.00","Imexco Ghana Limited","0","0","0","-"
"Electoral Commission","GR/ECGH/GD/0068/2020","-","Restricted Tender","2","Cooking Oil","Entity Tender Committee","40 (1)b - Urgency","24th December, 2020","28th December, 2020","Ghana Cedi","Gh¢102491.34","Imexco Ghana Limited","0","0","0","-"
"Electoral Commission","GR/ECGH/GD/0068/2020","-","Restricted Tender","3","Mackerel","Entity Tender Committee","40 (1)b - Urgency","24th December, 2020","28th December, 2020","Ghana Cedi","Gh¢87890.00","Imexco Ghana Limited","0","0","0","-"
