"Awarding Agency:","Tender Package No:","Tender Type:","Contract Type:","Lot #:","Tender Description:","Approval Auth:","Justification:","Contract Date:","Delivery / Completion Date:","Contract Currency:","Contract Award Price:","Contract Awarded To:","Company Email:","Company Address:","Company Tel:","Supplier #:"
"Controller And Accountant General Department","GR/CAGD/GD/0008/19/24","-","Restricted Tender","1","PRINTING AND SUPPLY OF BUSINESS CERTIFICATE WITH SECURITY FEATURES FOR REGISTRAR GENERAL'S DEPARTMENT","Entity Tender Committee","38(b) – Time and Cost disproportionate of value of procurement","11th September, 2020","11th November, 2020","Ghana Cedi","Gh¢1240000.00","Yasarko press Ltd","Yasarko@yahoo.com","n/a","n/a","-"
"Controller And Accountant General Department","GR/CAGD/GD/0008/19/46","-","Restricted Tender","1","PRINTING AND SUPPLY OF GHANA HIGHWAY AUTHORITY TOLL TICKETS","Central Tender Review Committee","38(b) – Time and Cost disproportionate of value of procurement","19th May, 2020","19th August, 2020","Ghana Cedi","Gh¢4861600.00","BETHESDA PRESS LIMITED","","","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0008/19/51","-","Restricted Tender","1","PRINTING AND SUPPLY OF STORES RECEIVED ADVICE","Entity Tender Committee","38(b) – Time and Cost disproportionate of value of procurement","22nd December, 2020","29th January, 2021","Ghana Cedi","Gh¢161500.00","BOSOMPEM BUSINESS VENTURES LIMITED","","","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0008/20/1","-","Restricted Tender","1","PRINTING AND SUPPLY OF COMPUTERIZED TAX CREDIT CERTIFICATE FOR 2ND QUARTER,2020","Central Tender Review Committee","38(b) – Time and Cost disproportionate of value of procurement","15th September, 2020","16th November, 2020","Ghana Cedi","Gh¢2999200.00","DERISCO COMPANY LIMITED","","","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0008/20/10","-","Restricted Tender","1","PRINTING AND SUPPLY OF MINISTRY OF HEALTH GENERAL COUNTERFOIL RECEIPT (GCR) BOOKS","Central Tender Review Committee","38(b) – Time and Cost disproportionate of value of procurement","09th July, 2020","12th December, 2020","Ghana Cedi","Gh¢1750000.00","JAMAD PRINTING PRESS LIMITED","","","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0008/20/10","-","Restricted Tender","1`","PRINTING AND SUPPLY OF MINISTRY OF HEALTH GENERAL COUNTERFOIL RECEIPT (GCR) BOOKS","Central Tender Review Committee","38(b) – Time and Cost disproportionate of value of procurement","11th September, 2020","11th November, 2020","Ghana Cedi","Gh¢1750000.00","JAMAD PRINTING PRESS LIMITED","","","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0008/20/11","-","Restricted Tender","1","PRINTING AND SUPPLY OF MINISTRY OF FOOD AND AGRICULTURE SUBSIDY FORM BOOKS","ETC/PPA","38(b) – Time and Cost disproportionate of value of procurement","13th August, 2020","13th October, 2020","Ghana Cedi","Gh¢233780.00","SAFEWAY PRINTING WORKS LIMITED","","","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0008/20/11","-","Restricted Tender","1","PRINTING AND SUPPLY OF MINISTRY OF FOOD AND AGRICULTURE SUBSIDY FORM BOOKS","Entity Tender Committee","38(b) – Time and Cost disproportionate of value of procurement","13th August, 2020","13th October, 2020","Ghana Cedi","Gh¢233780.00","SAFEWAY PRINTING WORKS LIMITED","","","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0008/20/13","-","Restricted Tender","1","PRINTING AND SUPPLY OF ENVIRONMENTAL PROTECTION AGENCY (EPA) VALUE BOOKS","ETC/PPA","38(b) – Time and Cost disproportionate of value of procurement","14th October, 2020","14th November, 2020","Ghana Cedi","Gh¢230990.00","GIGS PUBLICATIONS","","","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0008/20/13","-","Restricted Tender","1","PRINTING AND SUPPLY OF ENVIRONMENTAL PROTECTION AGENCY (EPA) VALUE BOOKS","Entity Tender Committee","38(b) – Time and Cost disproportionate of value of procurement","19th October, 2020","20th November, 2020","Ghana Cedi","Gh¢230990.00","GIGS PUBLICATIONS","","","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0008/20/14","-","Restricted Tender","1","PRINTING AND SUPPLY OF MINISTRY OF HEALTH ID CARDS","Central Tender Review Committee","38(b) – Time and Cost disproportionate of value of procurement","10th July, 2020","10th July, 2020","Ghana Cedi","Gh¢165000.00","MINIPACK PRESS","","","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0008/20/14","-","Restricted Tender","1","PRINTING AND SUPPLY OF MINISTRY OF HEALTH ID CARDS","Entity Tender Committee","38(b) – Time and Cost disproportionate of value of procurement","29th September, 2020","29th October, 2020","Ghana Cedi","Gh¢165000.00","MINIPACK PRESS","","","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0008/20/17","-","Restricted Tender","1","PRINTING AND SUPPLY OF VEHICLE INCOME TAX (VIT) CAT. A 3RD QUARTER,2020","Entity Tender Committee","38(b) – Time and Cost disproportionate of value of procurement","19th October, 2020","20th November, 2020","Ghana Cedi","Gh¢396697.50","PRIMMOND LIMITED","","","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0008/20/17","-","Restricted Tender","1","PRINTING AND SUPPLY OF VEHICLE INCOME TAX (VIT) STICKERS CATEGORY ""A"" FOR 3RD QUARTER, 2020","ETC/PPA","38(b) – Time and Cost disproportionate of value of procurement","14th October, 2020","14th November, 2020","Ghana Cedi","Gh¢396697.50","PRIMMOND LIMITED","","","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0008/20/18","-","Restricted Tender","1","PRINTING AND SUPPLY OF VEHICLE INCOME TAX (VIT) CAT. C 3RD QUARTER,2020","Entity Tender Committee","38(b) – Time and Cost disproportionate of value of procurement","14th October, 2020","14th November, 2020","Ghana Cedi","Gh¢222370.50","INNOLINK LIMITED","","","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0008/20/18","-","Restricted Tender","1","PRINTING AND SUPPLY OF VEHICLE INCOME TAX (VIT) STICKERS CATEGORY ""C"" FOR 3RD QUARTER, 2020","ETC/PPA","38(b) – Time and Cost disproportionate of value of procurement","14th October, 2020","14th November, 2020","Ghana Cedi","Gh¢222370.50","INNOLINK LIMITED","","","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0008/20/19","-","Restricted Tender","1","PRINTING AND SUPPLY OF VEHICLE INCOME TAX (VIT) CAT. D 3RD QUARTER,2020","Entity Tender Committee","38(b) – Time and Cost disproportionate of value of procurement","14th October, 2020","11th December, 2020","Ghana Cedi","Gh¢349700.00","SAFEWAY PRINTING WORKS LIMITED","","","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0008/20/19","-","Restricted Tender","1","PRINTING AND SUPPLY OF VEHICLE INCOME TAX (VIT) STICKERS CATEGORY ""B"" FOR 3RD QUARTER, 2020","Entity Tender Committee","38(b) – Time and Cost disproportionate of value of procurement","14th October, 2020","14th November, 2020","Ghana Cedi","Gh¢113850.00","TRIPLE A ENTERPRISE LTD","","","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0008/20/19","-","Restricted Tender","1","PRINTING AND SUPPLY OF VEHICLE INCOME TAX (VIT) STICKERS CATEGORY ""D"" FOR 3RD QUARTER, 2020","ETC/PPA","38(b) – Time and Cost disproportionate of value of procurement","14th October, 2020","14th November, 2020","Ghana Cedi","Gh¢349700.00","SAFEWAY PRINTING WORKS LIMITED","","","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0008/20/20","-","Restricted Tender","1","PRINTING AND SUPPLY OF VEHICLE INCOME TAX (VIT) STICKERS CAT. D 2ND QUARTER,2020","Entity Tender Committee","38(b) – Time and Cost disproportionate of value of procurement","14th August, 2020","14th September, 2020","Ghana Cedi","Gh¢207380.25","BUCK PRESS LIMITED","","","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0008/20/20","-","Restricted Tender","1","PRINTING AND SUPPLY OF VEHICLE INCOME TAX (VIT) STICKERS CATEGORY 'D' FOR 2ND QUARTER","ETC/PPA","38(b) – Time and Cost disproportionate of value of procurement","12th August, 2020","12th September, 2020","Ghana Cedi","Gh¢207380.25","BUCK PRESS LIMITED","","","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0008/20/20","-","Restricted Tender","1","PRINTING AND SUPPLY OF VEHICLE INCOME TAX (VIT)STICKERS CATEGORY ""D"" FOR 2ND QUARTER,2020","ETC/PPA","38(b) – Time and Cost disproportionate of value of procurement","12th August, 2020","12th September, 2020","Ghana Cedi","Gh¢207380.24","BUCK PRESS LIMITED","","","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0008/20/21","-","Restricted Tender","1","PRINTING AND SUPPLY OF CARBONLESS WATERMARKED SECURITY PAPERS","Central Tender Review Committee","38(b) – Time and Cost disproportionate of value of procurement","13th October, 2020","13th January, 2021","Ghana Cedi","Gh¢19616779.52","STRATEGIC SECURITY SYSTEMS","","","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0008/20/21","-","Restricted Tender","1","PRINTING AND SUPPLY OF CARBONLESS WATERMARKED SECURITY PAPERS.","Central Tender Review Committee","38(b) – Time and Cost disproportionate of value of procurement","10th May, 2020","01st May, 2021","Ghana Cedi","Gh¢19616779.52","STRATEGIC SECURITY SYSTEMS","","","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0008/20/21","-","Restricted Tender","1","SUPPLY OF CARBONLESS WATERMARKED SECURITY PAPERS","Central Tender Review Committee","38(b) – Time and Cost disproportionate of value of procurement","05th October, 2020","20th December, 0021","Ghana Cedi","Gh¢19616779.52","STRATEGIC SECURITY SYSTEMS","","","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0008/20/21","-","Restricted Tender","1","SUPPLY OF CARBONLESS WATERMARKED SECURITY PAPERS","Central Tender Review Committee","40 (1)d - Standardization/Compatibility/Limited Size","10th December, 2020","01st December, 2021","Ghana Cedi","Gh¢19616779.52","STRATEGIC SECURITY SYSTEMS","","","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0008/20/21","-","Restricted Tender","1","SUPPLY OF CARBONLESS WATERMARKED SECURITY PAPERS","Central Tender Review Committee","40 (1)d - Standardization/Compatibility/Limited Size","13th October, 2020","13th January, 2021","Ghana Cedi","Gh¢19616779.52","STRATEGIC SECURITY SYSTEMS","","","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0008/20/25","-","Restricted Tender","1","PRINTING AND SUPPLY OF VEHICLE INCOME TAX (VIT) STICKERS CATEGORY ""A"" FOR 2ND QUARTER, 2020","ETC/PPA","38(b) – Time and Cost disproportionate of value of procurement","12th August, 2020","12th September, 2020","Ghana Cedi","Gh¢331151.36","CANI COMPANY LIMITED","","","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0008/20/25","-","Restricted Tender","1","PRINTING AND SUPPLY OF VEHICLE INCOME TAX (VIT) STICKERS CATEGORY ""A"" FOR 2ND QUARTER,2020","ETC/PPA","38(b) – Time and Cost disproportionate of value of procurement","12th August, 2020","12th September, 2020","Ghana Cedi","Gh¢331151.31","CANI COMPANY LIMITED","","","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0008/20/29","-","Restricted Tender","1","PRINTING AND SUPPLY OF MIGRATION CARDS FOR GHANA IMMIGRATION SERVICE","Central Tender Review Committee","38(b) – Time and Cost disproportionate of value of procurement","10th September, 2020","20th October, 2020","Ghana Cedi","Gh¢2315599.65","BUCK PRESS LIMITED","","","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0008/20/32","-","Restricted Tender","1","PRINTING AND SUPPLY OF 3D METALLIC HOLOGRAPHIC FOILS FOR BIRTH AND DEATHS REGISTRY","Central Tender Review Committee","38(b) – Time and Cost disproportionate of value of procurement","24th December, 2020","24th March, 2021","Ghana Cedi","Gh¢7560000.00","INNOLINK LIMITED","","","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0008/20/32","-","Restricted Tender","1","PRINTING AND SUPPLY OF 3D METALLIC HOLOGRAPHIC FOILS FOR BIRTHS AND DEATHS REGISTRY","Central Tender Review Committee","38(b) – Time and Cost disproportionate of value of procurement","24th December, 2020","24th March, 2021","Ghana Cedi","Gh¢7560000.00","INNOLINK LIMITED","","","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0008/20/34","-","Restricted Tender","1","PRINTING AND SUPPLY OF MARKET TOLL TICKETS (GENERIC)","Entity Tender Committee","38(b) – Time and Cost disproportionate of value of procurement","16th December, 2020","16th February, 2021","Ghana Cedi","Gh¢980000.00","SAFEWAY PRINTING WORKS LIMITED","","","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0008/20/34","-","Restricted Tender","1","PRINTING AND SUPPLY OF MARKET TOLL TICKETS (GENERIC)","Entity Tender Committee","38(b) – Time and Cost disproportionate of value of procurement","16th December, 2020","16th February, 2021","Ghana Cedi","Gh¢980000.00","SAFEWAY PRINTING WORKS LIMITED","","","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0008/20/35","-","Restricted Tender","1`","PRINTING AND SUPPLY OF MARKET TOLL TICKETS","Entity Tender Committee","38(b) – Time and Cost disproportionate of value of procurement","03rd December, 2020","12th February, 2021","Ghana Cedi","Gh¢505000.00","BETHESDA PRESS LIMITED","","","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0008/20/38","-","Restricted Tender","1","PRINTING AND SUPPLY OF MISCELLANEOUS RECEIPT BOOKS FOR GHANA REVENUE AUTHORITY","Entity Tender Committee","38(b) – Time and Cost disproportionate of value of procurement","14th October, 2020","14th November, 2020","Ghana Cedi","Gh¢124750.00","PRIMMOND LIMITED","","","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0008/20/38","-","Restricted Tender","1","PRINTING AND SUPPLY OF MISCELLANEOUS RECEIPT BOOKS FOR GHANA REVENUE AUTHORITY","Entity Tender Committee","38(b) – Time and Cost disproportionate of value of procurement","19th October, 2020","19th November, 2020","Ghana Cedi","Gh¢124749.99","PRIMMOND LIMITED","","","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0008/20/39","-","Restricted Tender","1","PRINTING AND SUPPLY OF ON-SITE BANKING RECEIPTS FOR KOMFO ANOKYE TEACHING HOSPITAL","Entity Tender Committee","38(b) – Time and Cost disproportionate of value of procurement","11th December, 2020","15th January, 2021","Ghana Cedi","Gh¢164784.38","PAPER HOUSE LIMITED","","","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0008/20/40","-","Restricted Tender","1","PRINTING AND SUPPLY OF ON-SITE BANKING RECEIPTS FOR KORLE-BU TEACHING HOSPITAL.","Entity Tender Committee","38(b) – Time and Cost disproportionate of value of procurement","11th December, 2020","11th January, 2021","Ghana Cedi","Gh¢178959.38","PAPER HOUSE LIMITED","","","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0008/20/40","-","Restricted Tender","1","PRINTING AND SUPPLY ON-SITE BANKING RECEIPTS FOR KORLE-BU TEACHING HOSPITAL","Entity Tender Committee","38(b) – Time and Cost disproportionate of value of procurement","11th December, 2020","15th January, 2021","Ghana Cedi","Gh¢178959.38","PAPER HOUSE LIMITED","","","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0008/20/41","-","Restricted Tender","1","PRINTING AND SUPPLY OF ON-SITE BANKING RECEIPTS FOR REGISTRAR GENERAL'S DEPARTMENT","Entity Tender Committee","38(b) – Time and Cost disproportionate of value of procurement","11th December, 2020","11th January, 2021","Ghana Cedi","Gh¢176904.00","PAPER HOUSE LIMITED","","","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0008/20/41","-","Restricted Tender","1","PRINTING AND SUPPLY OF ON-SITE BANKING RECEIPTS FOR REGISTRAR GENERAL'S DEPARTMENT.","Entity Tender Committee","38(b) – Time and Cost disproportionate of value of procurement","11th December, 2020","11th January, 2021","Ghana Cedi","Gh¢176904.00","PAPER HOUSE LIMITED","","","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0008/20/42","-","Restricted Tender","1","PRINTING AND SUPPLY OF FOUR PLY CONTINUOUS FORMS","ETC/PPA","38(b) – Time and Cost disproportionate of value of procurement","31st December, 2020","31st January, 2021","Ghana Cedi","Gh¢378000.00","PAPER HOUSE LIMITED","","","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0008/20/42","-","Restricted Tender","1","PRINTING AND SUPPLY OF FOUR PLY CONTINUOUS FORMS","Entity Tender Committee","38(b) – Time and Cost disproportionate of value of procurement","31st December, 2020","30th January, 2021","Ghana Cedi","Gh¢378000.00","PAPER HOUSE LIMITED","","","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0008/20/42","-","Restricted Tender","1","PRINTING AND SUPPLY OF FOUR PLY FORMS","Entity Tender Committee","38(b) – Time and Cost disproportionate of value of procurement","16th December, 2022","30th January, 2023","Ghana Cedi","Gh¢672500.00","PAPER HOUSE LIMITED","","","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0008/20/43","-","Restricted Tender","1","PRINTING AND SUPPLY OF HOLOGRAM FOILS FOR VALUE BOKS","Central Tender Review Committee","38(b) – Time and Cost disproportionate of value of procurement","09th December, 2020","09th March, 2021","Ghana Cedi","Gh¢6736000.00","SAFEWAY PRINTING WORKS LIMITED","","","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0008/20/43","-","Restricted Tender","1","SUPPLY OF HOLOGRAM FOILS FOR VALUE BOOKS","Central Tender Review Committee","38(b) – Time and Cost disproportionate of value of procurement","12th September, 2020","02nd September, 2021","Ghana Cedi","Gh¢6736000.00","SAFEWAY PRINTING WORKS LIMITED","","","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0008/20/44","-","Restricted Tender","1","PRINTING AND SUPPLY OF BUSINESS CERTIFICATE CERTIFICATE WITH SECURITY FEATURES FOR REGISTRAR GENERAL DEPARTMENT","Entity Tender Committee","38(b) – Time and Cost disproportionate of value of procurement","22nd December, 2020","25th January, 2021","Ghana Cedi","Gh¢251100.00","DIDDLE ENTERPRISE","","","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0008/20/44","-","Restricted Tender","1","PRINTING AND SUPPLY OF BUSINESS CERTIFICATE WITH SECURITY FEATURES FOR REGISTRAR GENERAL'S DEPARTMENT","Entity Tender Committee","38(b) – Time and Cost disproportionate of value of procurement","22nd December, 2020","22nd January, 2021","Ghana Cedi","Gh¢251100.00","DIDDLE ENTERPRISE","","","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0008/20/44","-","Restricted Tender","1","PRINTING AND SUPPLY OF PURCHASE ORDER BOOKLETS","Entity Tender Committee","38(b) – Time and Cost disproportionate of value of procurement","10th December, 2020","15th February, 2021","Ghana Cedi","Gh¢200000.00","Yasarko press Ltd","Yasarko@yahoo.com","n/a","n/a","-"
"Controller And Accountant General Department","GR/CAGD/GD/0008/20/46","-","Restricted Tender","1","PRINTING AND SUPPLY OF BESPOKE CARBONLESS PAPERS FOR THE PRINTING OF VALUE BOOKS FOR GHANA REVENUE AUTHORITY","Central Tender Review Committee","38(b) – Time and Cost disproportionate of value of procurement","19th December, 2020","24th June, 2020","Ghana Cedi","Gh¢19616779.20","CHECKPOINT GHANA LIMITED","","","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0008/20/46","-","Restricted Tender","1","PRINTING AND SUPPLY OF BESPOKE CARBONLESS PAPERS FOR THE PRINTING OF VALUE BOOKS FOR GHANA REVENUE AUTHORITY","Central Tender Review Committee","40 (1)b - Urgency","29th December, 2020","12th February, 2021","Ghana Cedi","Gh¢19616779.52","CHECKPOINT GHANA LIMITED","","","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0008/20/47","-","Restricted Tender","1","PRINTING AND SUPPLY OF VEHICLE INCOME TAX (VIT)  STICKERS CAT. C 4TH QUARTER,2020","Entity Tender Committee","38(b) – Time and Cost disproportionate of value of procurement","22nd December, 2020","22nd January, 2021","Ghana Cedi","Gh¢215552.00","TRUE FAITH ENTERPRISE LIMITED","","","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0008/20/47","-","Restricted Tender","1","PRINTING AND SUPPLY OF VEHICLE INCOME TAX (VIT) CATEGORY 'C' 4TH QUARTER","Entity Tender Committee","38(b) – Time and Cost disproportionate of value of procurement","22nd December, 2020","22nd January, 2021","Ghana Cedi","Gh¢215552.00","TRUE FAITH ENTERPRISE LIMITED","","","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0008/20/48","-","Restricted Tender","1","PRINTING AND SUPPLY OF VEHICLE INCOME TAX (VIT)  STICKERS CAT. D 4TH QUARTER,2020","Entity Tender Committee","38(b) – Time and Cost disproportionate of value of procurement","22nd December, 2020","24th January, 2021","Ghana Cedi","Gh¢253424.00","PRIMMOND LIMITED","","","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0008/20/48","-","Restricted Tender","1`","PRINTING AND SUPPLY OF VEHICLE INCOME TAX (VIT) CATEGORY 'D' 4TH QUARTER","Entity Tender Committee","38(b) – Time and Cost disproportionate of value of procurement","22nd December, 2020","25th January, 2021","Ghana Cedi","Gh¢253424.00","PRIMMOND LIMITED","","","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0008/20/49","-","Restricted Tender","1","PRINTING AND SUPPLY OF VEHICLE INCOME TAX (VIT) STICKERS CATEGORY ""A"" 4TH QUARTER,2020","Entity Tender Committee","38(b) – Time and Cost disproportionate of value of procurement","24th December, 2020","24th January, 2021","Ghana Cedi","Gh¢323136.00","SUPREME CONCEPT CO. LTD","","P. O. BOX KB 182 KORLE- BU, ACCRA","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0008/20/50","-","Restricted Tender","1","PRINTING AND SUPPLY OF 3% FLAT RATE INVOICE BOOKS FOR GHANA REVENUE AUTHORITY","Central Tender Review Committee","38(b) – Time and Cost disproportionate of value of procurement","24th December, 2020","24th February, 2021","Ghana Cedi","Gh¢1575000.00","DIDDLE ENTERPRISE","","","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0008/20/50","-","Restricted Tender","1","PRINTING AND SUPPLY OF 3% FLAT RATE VAT INVOICE BOOKS FOR GHANA REVENUE AUTHORITY","Central Tender Review Committee","38(b) – Time and Cost disproportionate of value of procurement","24th December, 2020","24th February, 2021","Ghana Cedi","Gh¢1575000.00","DIDDLE ENTERPRISE","","","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0008/20/52","-","Restricted Tender","1","PRINTING AND SUPPLY OF VARIOUS VALUE BOOKS","Entity Tender Committee","38(b) – Time and Cost disproportionate of value of procurement","05th July, 2021","05th August, 2021","Ghana Cedi","Gh¢146750.00","TRIPLE A ENTERPRISE LTD","","","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0008/20/53","-","Restricted Tender","1","PRINTING AND SUPPLY OF MINISTRY OF HEALTH DEPARTMENTAL PAYMENT VOUCHER","Entity Tender Committee","38(b) – Time and Cost disproportionate of value of procurement","30th September, 2021","21st September, 2021","Ghana Cedi","Gh¢161136.00","DAKOMA VENTURES LIMITED","","","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0008/2014/01","-","Single Sourced","1","","Ministerial Tender Review Committee","-","10th October, 2014","05th December, 2014","Ghana Cedi","Gh¢200000.00","COMPUPRINT LIMITED","","P.O.BOX 14561 ACCRA","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0008/22","-","Restricted Tender","1","PRINTING AND SUPPLY  OF GENERAL COUNTERFOIL RECEIPTS BOOKS (GCR)","Central Tender Review Committee","38(b) – Time and Cost disproportionate of value of procurement","30th September, 2022","24th October, 2022","Ghana Cedi","Gh¢2360000.00","DERISCO COMPANY LIMITED","","","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0008/22","-","Restricted Tender","1","PRINTING AND SUPPLY MARKET TOLL  TICKETS (GENERIC)","Central Tender Review Committee","38(a) – Limited Suppliers / Contractors","28th September, 2022","28th October, 2022","Ghana Cedi","Gh¢1995000.00","SAFEWAY PRINTING WORKS LIMITED","","","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0008/22","-","Restricted Tender","1","PRINTING AND SUPPLY OF GHANA REVENUE INVOICE BOOKS","Central Tender Review Committee","38(b) – Time and Cost disproportionate of value of procurement","30th September, 2022","18th October, 2022","Ghana Cedi","Gh¢4965000.00","DERISCO COMPANY LIMITED","","","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0008/22","-","Restricted Tender","1","PRINTING AND SUPPLY OF MINISTRY OF BDR FORM A: BIRTH REGISTRATION REPORT FORM","Entity Tender Committee","38(b) – Time and Cost disproportionate of value of procurement","16th August, 2022","16th September, 2022","Ghana Cedi","Gh¢470000.00","Minipack Press","0","0","0","-"
"Controller And Accountant General Department","GR/CAGD/GD/0008/22","-","Restricted Tender","1","PRINTING AND SUPPLY OF MINISTRY OF HEALTH DEPARTMENTAL PAYMENT VOUCHER","Entity Tender Committee","38(b) – Time and Cost disproportionate of value of procurement","24th August, 2022","16th September, 2022","Ghana Cedi","Gh¢380160.00","BESTAS PRESS LIMITED","","","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0008/22","-","Restricted Tender","1","PRINTING AND SUPPLY OF ON-SITE BANKING RECEIPTS FOR KOMFO ANOKYE BUTEACHING HOSPITAL","Entity Tender Committee","38(b) – Time and Cost disproportionate of value of procurement","29th December, 2022","26th January, 2023","Ghana Cedi","Gh¢181620.00","RIGHTEOUS PRINTING PRESS","","","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0008/22","-","Restricted Tender","1","PRINTING AND SUPPLY OF PURCHASE ORDER BOOKS","Entity Tender Committee","38(b) – Time and Cost disproportionate of value of procurement","17th August, 2022","23rd September, 2022","Ghana Cedi","Gh¢224750.00","DIDDLE ENTERPRISE","","","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0008/22","-","Restricted Tender","1","PRINTING AND SUPPLY OF STORES RECEIVED ADVICE","Entity Tender Committee","38(b) – Time and Cost disproportionate of value of procurement","12th December, 2022","18th January, 2023","Ghana Cedi","Gh¢179948.00","Yasarko press Ltd","Yasarko@yahoo.com","n/a","n/a","-"
"Controller And Accountant General Department","GR/CAGD/GD/0008/22","-","Restricted Tender","1","PRINTING AND SUPPLY OF VARIOUS VALUE BOOKS","Entity Tender Committee","38(a) – Limited Suppliers / Contractors","16th December, 2022","20th January, 2023","Ghana Cedi","Gh¢318000.00","KASASA HIGH VENTURES","","","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0008/22","-","Single Sourced","1","SUPPLY OF MOTOR VEHICLE  (LAND CRUISER )","Central Tender Review Committee","40 (1)b - Urgency","19th September, 2022","02nd December, 2022","Ghana Cedi","Gh¢1195000.00","RONOR MOTORS GHANA LIMITED","","","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0008/22/02","-","Restricted Tender","1","PRINTING AND SUPPLY OF E-REGISTRAR RECEIPTS FOR REGISTRAR GENERAL'S DEPARTMENT","Entity Tender Committee","38(b) – Time and Cost disproportionate of value of procurement","23rd August, 2022","16th September, 2022","Ghana Cedi","Gh¢238720.00","Yasarko press Ltd","Yasarko@yahoo.com","n/a","n/a","-"
"Controller And Accountant General Department","GR/CAGD/GD/0008/22/06","-","Restricted Tender","1","PRINTING AND SUPPLY OF GHANA REVENUE AUTHORITY STANDARD RATE INVOICE BOOKS","Central Tender Review Committee","38(b) – Time and Cost disproportionate of value of procurement","30th September, 2022","30th December, 2022","Ghana Cedi","Gh¢4965000.00","DERISCO COMPANY LIMITED","","","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0008/22/13","-","Restricted Tender","1","PRINTING AND SUPPLY OF GENERAL COUNTERFOIL RECEIPT (GCR) FOR MINISTRY OF HEALTH","Central Tender Review Committee","40 (1)b - Urgency","31st March, 2023","14th June, 2023","Ghana Cedi","Gh¢3580333.33","BESTAS PRESS LIMITED","","","","-"
