"Awarding Agency:","Tender Package No:","Tender Type:","Contract Type:","Lot #:","Tender Description:","Approval Auth:","Justification:","Contract Date:","Delivery / Completion Date:","Contract Currency:","Contract Award Price:","Contract Awarded To:","Company Email:","Company Address:","Company Tel:","Supplier #:"
"Ghana Revenue Authority","GR/SS/GRA/GD/0013/2021","-","Single Sourced","","Supply of Various Laboratory Equipment and Reagent","PPA/CTRC","40 (1)b - Urgency","03rd August, 2021","29th September, 2021","Ghana Cedi","Gh¢384558.26","OAKPALM LIMITED","","","","-"
"Ghana Revenue Authority","GR/SS/GRA/GD/0014/2021","-","Single Sourced","","Supply of Various Car Batteries and Vehicle Tyres","PPA/CTRC","40 (1)b - Urgency","03rd August, 2021","29th September, 2021","Ghana Cedi","Gh¢580517.60","Marbro Limited","info@mabro.com","n/a","n/a","-"
"Ghana Revenue Authority","GR/SS/GRA/GD/0015/2021","-","Single Sourced","","Supply of Various  Vehicle Tyres","PPA/CTRC","40 (1)b - Urgency","03rd August, 2021","29th September, 2021","Ghana Cedi","Gh¢813696.00","B5 COMPANY LIMITED","","","","-"
"Ghana Revenue Authority","GR/SS/GRA/GD/0012/2021","-","Single Sourced","","Supply and Installation of Various  Curtains and Blinds","PPA/CTRC","40 (1)b - Urgency","03rd August, 2021","29th September, 2021","Ghana Cedi","Gh¢386818.16","EMPEROR HIVE LIMITED","","","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0007/2013/02","-","Single Sourced","1","","Ministerial Tender Review Committee","-","16th September, 2013","14th November, 2013","Ghana Cedi","Gh¢750000.00","M/s Justice Press Limited","","P. O. Box NT416 Accra","","-"
"Ghana Prisons Service","GPS/GDS/001/2021","-","Single Sourced","N/A","Procurement of 3,158 gallons ( 5 litres per gallon) of Hand Sanitizer","ETC/PPA","38(b) – Time and Cost disproportionate of value of procurement","20th June, 2021","07th July, 2021","Ghana Cedi","Gh¢605388.60","METRO WEST VENTURES","","","","-"
"Ghana Prisons Service","GPS/GDS/002/2021","-","Single Sourced","N/A","Procurement and Supply of 21,052 gallons (5 litres per gallon) of Parazone","ETC/PPA","38(b) – Time and Cost disproportionate of value of procurement","07th July, 2021","19th June, 2021","Ghana Cedi","Gh¢1349959.50","ASFO -SAF ENTERPRISE","","","","-"
"Ghana Prisons Service","GPS/GDS/003/2021","-","Single Sourced","N/A","Procurement and Supply of 4,626 gallons ( 5 litres per gallon)","ETC/PPA","38(b) – Time and Cost disproportionate of value of procurement","29th June, 2021","07th July, 2021","Ghana Cedi","Gh¢894205.80","METRO WEST VENTURES","","","","-"
"Ghana Prisons Service","GPS/GDS/004/2021","-","Single Sourced","N/A","Procurement and Supply of 1,052 pieces of Student Mattresses (4""/8"" x 14"" High Density Covered)","ETC/PPA","38(b) – Time and Cost disproportionate of value of procurement","29th June, 2021","01st July, 2021","Ghana Cedi","Gh¢269838.00","EQUIPMAN COMPANY LIMITED","","","","-"
"Ghana Prisons Service","GPS/GDS/005/2021","-","Single Sourced","N/A","Procurement and Supply of 15,789 gallons ( 5 litres per gallon) of Izar","ETC/PPA","38(b) – Time and Cost disproportionate of value of procurement","07th July, 2021","19th July, 2021","Ghana Cedi","Gh¢1349959.50","ASFO -SAF ENTERPRISE","","","","-"
"Ghana Prisons Service","GPS/GDS/006/2021","-","Single Sourced","N/A","Procurement and Supply of 21,052 gallons (5 litres per gallon) of liquid Soap","ETC/PPA","38(b) – Time and Cost disproportionate of value of procurement","07th July, 2021","19th July, 2021","Ghana Cedi","Gh¢1199964.00","METRO WEST VENTURES","","","","-"
"Ghana Prisons Service","GPS/GDS/007/2021","-","Single Sourced","N/A","Procurement and Supply of 10,526 Boxes (120 Sachets per Box) Powdered Soap.","ETC/PPA","38(b) – Time and Cost disproportionate of value of procurement","07th July, 2021","19th July, 2021","Ghana Cedi","Gh¢3449896.50","METRO WEST VENTURES","","","","-"
"Ghana Prisons Service","GPS/GDS/008/2021","-","Single Sourced","N/A","Procurement and Supply of 14,353 Boxes ( 72 cakes per Box) of Carbolic Soap.","ETC/PPA","38(b) – Time and Cost disproportionate of value of procurement","29th June, 2021","07th July, 2021","Ghana Cedi","Gh¢1499888.50","ASFO -SAF ENTERPRISE","","","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0007/2013/02","-","Single Sourced","1","","Ministerial Tender Review Committee","-","16th September, 2013","20th December, 2013","Ghana Cedi","Gh¢750000.00","Justice Press Limited","","P. O. Box ANT416, Accra Newtow","","-"
"Volta River Authority","VRA/PRD/SS/2022000068","-","Single Sourced","1","DIGITAL GOVERNOR PARTS: GOVERNOR ENGINEERING NOTEBOOK FOR HYDRO GENERATION, AKOSOMBO AS PER APPROVAL OBTAINED FROM PPA PER THE REFERENCED LETTER, PPA/CEO/07/1190/18 OF 12/7/2018","ETC/PPA","40 (1)d - Standardization/Compatibility/Limited Size","17th September, 2020","29th January, 2021","Euro","€3900.00","ANDRITZ HYDRO GmbH","guenther.hess@andritz.com","LUNZERSTRABE 78 / 4020 LINZ AUSTRIA PENZIGER STRASSE 76","0","-"
"Special Development Initiatives","GR/MSDI/WKS/017/2020","-","Single Sourced","1","CONSTRUCTION AND COMPLETION OF PHASE 1 OF AKROSO MARKET IN THE EASTERN REGION","Entity Tender Committee","40 (1)b - Urgency","16th March, 2020","16th August, 2020","Ghana Cedi","Gh¢2044368.67","JAYSEE COMPANY LIMITED","","","","-"
"Special Development Initiatives","GR/MSDI/WKS/010/2020","-","Single Sourced","1","CONSTRUCTION OF 8-SEATER WATER CLOSET TOILET WITH MECHANISED BOREHOLE AT NYANFEKU EKORFUL IN THE CENTRAL REGION,","Entity Tender Committee","40 (1)b - Urgency","17th August, 2020","17th January, 2021","Ghana Cedi","Gh¢190000.00","RANA EXOR EMPIRE COMPANY LIMITED","","","","-"
"Special Development Initiatives","GR/MSDI/WKS/011/2020","-","Single Sourced","1","CONSTRUCTION OF 12 UNITS-2 STOREY CLASSROOM BLOCK WITH TOILET FACILITY AND MECHANIZED BOREHOLE AT ST. MARY’S ANGLICAN SCHOOL IN THE CENTRAL REGION,","Entity Tender Committee","40 (1)b - Urgency","12th March, 2020","12th August, 2020","Ghana Cedi","Gh¢1669845.24","Abiko Real Estate & Construction","0","P. O. Box, Accra","0","-"
"Special Development Initiatives","GR/MSDI/WKS/016/2020","-","Single Sourced","1","CONSTRUCTION AND COMPLETION OF PHASE ONE OF SALAGA MARKET IN THE SAVANNAH REGION","Entity Tender Committee","40 (1)b - Urgency","16th March, 2020","16th August, 2020","Ghana Cedi","Gh¢2140495.89","Affrako Company Ltd","0","P. O. Box, Accra","0","-"
"Special Development Initiatives","GR/MSDI/WKS/013/2020","-","Single Sourced","1","CONSTRUCTION OF 1.6KM OF ROAD AT DATUS ELECTORAL AREA AT KASOA IN THE CENTRAL REGION","Entity Tender Committee","40 (1)b - Urgency","12th March, 2020","12th August, 2020","Ghana Cedi","Gh¢4036074.17","Sisaturasoul Company","0","P. O. Box, Accra","0","-"
"Controller And Accountant General Department","GR/CAGD/GD/0007/2013/02","-","Single Sourced","1","","Ministerial Tender Review Committee","-","25th July, 2013","19th September, 2013","Ghana Cedi","Gh¢559000.00","Bestas Press Limited","","P. O. Box AN 6045, Accra North","","-"
"Special Development Initiatives","GR/MSDI/CS/004/2020","-","Single Sourced","1","CONSULTANCY SERVICES FOR THE ENGINEERING, DESIGN AND CONSTRUCTION SUPERVISION FOR 7NO. PROJECTS","Central Tender Review Committee","40 (1)b - Urgency","12th March, 2020","12th August, 2020","Ghana Cedi","Gh¢1681763.00","Cost Survey Consult Limited","0","P. O. Box, Accra","0","-"
"Volta River Authority","VRA/PRD/SS/1022100177","-","Single Sourced","1","PROCUREMENT OF DRONE SERVICES FOR DISTRIBUTION OF EDUCATIONAL MATERIALS  TO SCHOOLS IN VRA CATCHMENT AREAS AS PART    OF VRA 60TH ANNIVERSARY CELEBRATIONS - PPA/CEO/02/254/21","ETC/PPA","40 (1)b - Urgency","16th March, 2021","10th June, 2021","USA Dollar","$25786.69","SKT Aeroshutter Limited","sales@sktaeroshutter.com","Westlands Boulevard 119, West Legon","0302 947 960","-"
"Volta River Authority","VRA/PRD/SS/2022000058","-","Single Sourced","1","SPARE PARTS FOR THE MINIGRIDS FOR HYDRO GENERATION, AKOSOMBO","ETC/PPA","40 (1)a - Proprietary","26th August, 2020","19th May, 2021","Euro","€11578.14","Trama Tecno Ambiental","info@tta.com.es","Avda Meridiana, 153-0026, Barcelona","0","-"
"Volta River Authority","VRA/PRD/SS/14022100111","-","Single Sourced","1","SUPPLY OF GE 9100C NXT ANESTHESIA MACHINE FOR VRA HEALTH SERVICES LIMITED (VHSL).Reference PPA/CEO/05/805/21 dated 30/05/2021.","ETC/PPA","40 (1)b - Urgency","16th June, 2021","03rd August, 2021","Ghana Cedi","Gh¢137995.77","PACIFIC DIAGNOSTICS LIMITED","","","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0007/2013/05","-","Single Sourced","1","","Ministerial Tender Review Committee","-","23rd July, 2013","17th September, 2013","Ghana Cedi","Gh¢500000.00","Anest Company Limited","","P. O. Box AN 19672, Accra North","","-"
"Bank of Ghana","N/A","-","Single Sourced","N/A","PROCUREMENT OF BANKNOTE BANDING MACHINES FOR CURRENCY OPERATIONS","ETC/PPA","40 (1)d - Standardization/Compatibility/Limited Size","13th July, 2021","05th November, 2021","Euro","€52000.00","REIGNETH  COMPANY LIMITED","","","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0007/2013/09","-","Single Sourced","1","","Ministerial Tender Review Committee","-","25th July, 2013","19th September, 2013","Ghana Cedi","Gh¢120000.00","Primmond Limited","","P.O.Box 4733, Accra","","-"
"Bank of Ghana","N/A","-","Single Sourced","N/A","PROCUREMENT OF FORKLIFTS","ETC/PPA","40 (1)b - Urgency","02nd August, 2021","08th September, 2021","Ghana Cedi","Gh¢341136.00","KENHAT COMPANY LIMITED","","","","-"
"Ghana Civil Aviation Authority","GR/GCAA/WK/0001/2018","-","Single Sourced","1","Construction of Head Office Building, additional Floor and design, supply and implementation of IT Solution Data Center","ETC/PPA","40 (1)b - Urgency","26th August, 2021","30th June, 2022","USA Dollar","$32488202.80","AMANDI INVESTMENT LIMITED","","","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0007/2013/07","-","Single Sourced","1","","Ministerial Tender Review Committee","-","23rd July, 2013","17th September, 2013","Ghana Cedi","Gh¢120000.00","Anest Company Limited","","P. O. Box AN 19672, Accra North","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0007/13/06","-","Single Sourced","1","","Central Tender Review Committee","-","04th December, 2013","29th January, 2014","Ghana Cedi","Gh¢882000.00","COMPUPRINT LIMITED","","P.O.BOX 14561 ACCRA","","-"
"Ghana Revenue Authority","GR/SS/GRA/GD/0016/2021","-","Single Sourced","","Supply and Installation of Generator Set 150KVA","ETC/PPA","40 (1)b - Urgency","30th August, 2021","30th September, 2021","Ghana Cedi","Gh¢448996.96","JCS Global Power Outlook Ltd","jcsglobal@gmail.com","n/a","n/a","-"
"Ghana Revenue Authority","GR/SS/GRA/GD/0016/2021","-","Single Sourced","","Supply of Various Office Equipment","ETC/PPA","40 (1)b - Urgency","31st August, 2021","30th September, 2021","Ghana Cedi","Gh¢374094.80","Build-up Ventures Ltd","Build-upVentures@gmail.com","n/a","n/a","-"
"Ghana Revenue Authority","GR/SS/GRA/GD/0017/2021","-","Single Sourced","","Supply of  Various Office equipment","ETC/PPA","40 (1)b - Urgency","31st August, 2021","30th September, 2021","Ghana Cedi","Gh¢492433.76","Suggestion Ventures","SuggestionVentures@gmail.com","accra","n/a","-"
"Ghana Revenue Authority","GR/SS/GRA/GD/0017/2021","-","Single Sourced","","Supply of Various Office Furniture","ETC/PPA","40 (1)b - Urgency","31st August, 2021","30th September, 2021","Ghana Cedi","Gh¢279240.00","Hatchroft Enterprise","HatchroftEnterprise@yahoo.com","accra","n/a","-"
"Ghana Revenue Authority","GR/SS/GRA/GD/0018/2021","-","Single Sourced","","Supply of Various Office Furniture","ETC/PPA","40 (1)b - Urgency","19th August, 2021","30th September, 2021","Ghana Cedi","Gh¢267147.00","Precision Hub Service International","phsi@gmail.com","n/a","n/a","-"
"Controller And Accountant General Department","GR/CAGD/GD/0005/12/67","-","Single Sourced","1","","Central Tender Review Committee","-","31st July, 2013","25th September, 2013","Ghana Cedi","Gh¢1800000.00","JAMAD PRESS LIMITED","","P.O.BOX ST654 ACCRA","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0007/2013/12","-","Single Sourced","1","","Entity Tender Committee","-","21st June, 2013","16th August, 2013","Ghana Cedi","Gh¢69046.80","Innolink Limited","","P.O.Box AF 274,Accra","","-"
"Ghana Revenue Authority","GR/SS/GRA/GD/0019/2021","-","Single Sourced","","Supply ,Services and Maintenance of  GRA’s Network  Stamp Affixing Facilities at different location for two(2) years","ETC/PPA","40 (1)d - Standardization/Compatibility/Limited Size","24th August, 2021","28th September, 2023","Ghana Cedi","Gh¢21959637.20","Streamline Resources Ghana Limited","StreamlineResources@gmail.com","n/a","n/a","-"
"Ghana Civil Aviation Authority","GR/GCAA/GD/0035/2021","-","Single Sourced","1","Procurement of Aircom D-ATIS service for new Air Navigation Services Counter","ETC/PPA","40 (1)a - Proprietary","01st June, 2021","31st August, 2021","USA Dollar","$13765.00","SITA For Aircraft","0","0","0","-"
"Ghana Civil Aviation Authority","GR/GCAA/GD/0086/2020","-","Single Sourced","1","Procurement of Flight Strip Printer and Strip Papers","ETC/PPA","40 (1)a - Proprietary","03rd December, 2020","05th July, 2021","USA Dollar","$11670.00","TLS Boca Systems","0","0","0","-"
"Controller And Accountant General Department","GR/CAGD/GD/0007/2013/13","-","Single Sourced","1","","Ministerial Tender Review Committee","-","21st June, 2013","16th August, 2013","Ghana Cedi","Gh¢196800.00","Sakoa Press Limited","","P. O. Box AN11590, Accra North","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0007/2013/15","-","Single Sourced","1","","Entity Tender Committee","-","19th July, 2013","13th September, 2013","Ghana Cedi","Gh¢37500.00","Derisco Company Limited","","Box AT 1426","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0007/2013/16","-","Single Sourced","1","","Ministerial Tender Review Committee","-","16th September, 2013","11th November, 2013","Ghana Cedi","Gh¢200000.00","YASARKO PRESS LIMITED","","P. O. Box 14238","","-"
"Ghana Cocoa Board","GCB/PD/CHED/KELIK/01/2021","-","Single Sourced","1","CONTRACT FOR THE SUPPLY OF KELIK POTASSIUM FOLIAR FERTILIZER","ETC/PPA","40 (1)a - Proprietary","30th August, 2021","30th November, 2021","USA Dollar","$2295000.00","AGROMONTI COMPANY LIMITED","","","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0005/12/60","-","Single Sourced","1","","Central Tender Review Committee","-","03rd July, 2013","28th August, 2013","Ghana Cedi","Gh¢12000000.00","Innolink Limited","","P.O.Box AF 274,Accra","","-"
"Energy Commission","GR/ECOM/WK/0001/2012","-","Single Sourced","1","","Central Tender Review Committee","-","18th January, 2012","31st October, 2012","Ghana Cedi","Gh¢2890016.95","Thames Construction Limited","","P. O. Box 18364 Accra Ghana","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0002/12B","-","Single Sourced","1","","Ministerial Tender Review Committee","-","24th July, 2013","18th September, 2013","Ghana Cedi","Gh¢346080.00","SARPCO LIMITED","","P.O.BOX AN7222 ACCRA","","-"
"Volta Lake Transport Company Limited","ER/VLTC/GDS/0001/2021","-","Single Sourced","1 OF 1","TO SUPPLY DIESEL AND LUBRICANTS TO VLTC TO ENABLE THE VESSELS MOVE ON TIME.","Entity Tender Committee","40 (1)b - Urgency","08th January, 2021","31st December, 2021","Ghana Cedi","Gh¢5821261.00","GHANA OIL COMPANY LIMITED","","","","-"
"Volta Lake Transport Company Limited","ER/VLTC/SS/0002/2021","-","Single Sourced","1 OF 1","TO INSURE THE PROPERTIES OF THE COMPANY.","Entity Tender Committee","40 (1)b - Urgency","08th January, 2021","31st December, 2021","Ghana Cedi","Gh¢497186.06","SIC INSURANCE COMPANY LIMITED","","","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0005/2013","-","Single Sourced","1","","Ministerial Tender Review Committee","-","24th July, 2013","18th September, 2013","Ghana Cedi","Gh¢129950.00","PAYLESS FOR VALUE","","P.O.BOX GP4307 ACCRA","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0003/12","-","Single Sourced","1","","Entity Tender Committee","-","16th January, 2013","13th March, 2013","Ghana Cedi","Gh¢98999.99","MADSON JAPAN ENGINEERING GHANA LIMITED","","P.O. BOX 16990, ACCRA","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0005/13/01","-","Single Sourced","1","","Ministerial Tender Review Committee","-","14th November, 2013","09th January, 2014","Ghana Cedi","Gh¢550000.00","ESINBLESS VENTURES LIMITED","","P.O.BOX M 300 ACCRA","","-"
"Ridge Hospital","GHS/GARH/CEU-PQT-03/21/001","-","Single Sourced","","PROCUREMENT OF RIX BOOSTER COMPONENT AND ACCESSORIES FOR OXYGEN COMRESSORS PLANT AND ITS ONE YEAR PREVENTIVE MAINENANCE SPARE PARTS","ETC/PPA","40 (1)b - Urgency","27th July, 2021","27th July, 2022","Ghana Cedi","Gh¢87589.81","RIKAIR COMPANY LIMITED","","","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0007/13/29","-","Single Sourced","1","","Ministerial Tender Review Committee","-","18th December, 2013","12th February, 2014","Ghana Cedi","Gh¢510000.00","SEC PRINT GHANA LIMITED","","P.O.BOX KIA 9677 AIRPORT-ACCRA","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0001/12/23","-","Single Sourced","1","","Central Tender Review Committee","-","03rd July, 2013","28th August, 2013","Ghana Cedi","Gh¢2240000.00","Checkpoint Ghana Limited","","P. O. Box 865, Mamprobi, Accra","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0007/2013/14","-","Single Sourced","1","","Entity Tender Committee","-","19th July, 2013","06th September, 2013","Ghana Cedi","Gh¢89980.00","Primmond Limited","","P.O.Box 4733, Accra","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0007/13/28","-","Single Sourced","1","","Ministerial Tender Review Committee","-","20th December, 2013","14th February, 2014","Ghana Cedi","Gh¢417000.00","SPEEDMASTERS LIMITED","","P.O.BOX CT 582 ACCRA","","-"
"University Of Ghana (UG)","GR/UG/TS/SS/UGCS/0025/2021","-","Single Sourced","Lot 2","Contract for renewal of various licenses - Office 365","ETC/PPA","40 (1)d - Standardization/Compatibility/Limited Size","09th September, 2021","13th September, 2021","Ghana Cedi","Gh¢1443492.51","INTERCOM PROGRAMMING AND MANUFACTURING COMPANY LIMITED( IPMC)","","","","-"
"Electoral Commission","GR/ECGH/SS/08/2021","-","Single Sourced","","Dedicated internet services at head office, district offices and new office datacenter and equipment's","Central Tender Review Committee","72 (5)(a) -Sole Eligible Consultant","17th August, 2021","30th August, 0021","Ghana Cedi","Gh¢1201940.15","Scancom PLC (MTN Ghana Limited)","0","0","0","-"
"Controller And Accountant General Department","GR/CAGD/GD/0007/13/38","-","Single Sourced","1","","Entity Tender Committee","-","19th December, 2013","13th February, 2014","Ghana Cedi","Gh¢100000.00","COMPUPRINT LIMITED","","P.O.BOX 14561 ACCRA","","-"
"Audit Service","GAS/PROC/SS/MW/TO/21","-","Single Sourced","","SUPPLY OF TONNERS","ETC/PPA","40 (1)a - Proprietary","05th July, 2021","20th July, 2021","Ghana Cedi","Gh¢176900.00","DOCUTECH LIMITED","","","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0007/2013/42","-","Single Sourced","1","","Central Tender Review Committee","-","23rd December, 2013","17th February, 2014","Ghana Cedi","Gh¢2463750.00","Innolink Limited","","P.O.Box AF 274,Accra","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0007/2013/42","-","Single Sourced","1","","Central Tender Review Committee","-","23rd December, 2013","17th February, 2014","Ghana Cedi","Gh¢5175000.00","COMPUPRINT LIMITEED","","P.O.BOX 14561 ACCRA","","-"
"Ghana Maritime Authority","GR/GMA/GD/21/03","-","Single Sourced","","Contract being executed","ETC/PPA","40 (2) - Promote Policy 59(4)(c), (d) or 69(2)(c)(i)","30th September, 2021","30th October, 2021","Ghana Cedi","Gh¢315700.00","UNIVERSAL MOTORS LIMITED","","","","-"
"National Schools Inspectorate Authority (NaSIA)","MoE/NaSIA/2021/SS/01","-","Single Sourced","1","Enterprise Resource Planning (ERP) System Phase (1) For National Schools Inspectorate Authority (NaSIA)","PPA/CTRC","40 (1)b - Urgency","29th September, 2021","29th March, 2022","Ghana Cedi","Gh¢1475880.00","M/S Jams Info Systems Limited","0","P. O. Box 1232, UP KNUST","0","-"
"University Of Ghana (UG)","GR/UG/TS/SS/UGCS/0025/2021","-","Single Sourced","Various","Contract for Renewal of various Licenses. *Veeam Backup and Replication *Sophos *HPE Cloud Matrix *10GBE SEP+","ETC/PPA","40 (1)a - Proprietary","27th September, 2021","08th October, 2021","Ghana Cedi","Gh¢1301178.00","GEROMINO DATA SYSTEMS (GDS) AFRICA LIMITED","0","0","0","-"
"Controller And Accountant General Department","GR/CAGD/GD/0011/13/01","-","Single Sourced","1","","Entity Tender Committee","-","19th December, 2013","13th February, 2014","Ghana Cedi","Gh¢40000.00","GUIDEM LIMITED","","P.O.BOX A266 LA, ACCRA","","-"
"Ghana Railway Development Authority","GR/GRDA/21/07","-","Single Sourced","","PURCHASE OF 5 PICK UPS VEHICLES, A COASTER BUS AND OFFICE EQUIPMENT","ETC/PPA","40 (1)b - Urgency","17th August, 2021","22nd November, 2021","Ghana Cedi","Gh¢2140683.14","TRICON AUTO TRADING","tricon@gmail.com","P.O BOX 5252, ACCRA NORTH","n/a","-"
"Controller And Accountant General Department","CAGD/PROC/GD/011/13","-","Single Sourced","1","","Ministerial Tender Review Committee","-","14th November, 2013","09th January, 2013","Ghana Cedi","Gh¢155839.50","HELSON INVESTMENT","","P.O.BOX CT 1106 CANTOMENTS, ACCRA","","-"
"Tamale Teaching Hospital","TTH/SS/AWD/ND/20/148","-","Single Sourced","1","Repair of Toshiba CT System","ETC/PPA","40 (1)d - Standardization/Compatibility/Limited Size","05th November, 2020","25th June, 2020","Ghana Cedi","Gh¢1864155.43","Africano Health Care Limited","0","0","0","-"
"Tamale Teaching Hospital","TTH/SS/AWD/ND/21/04","-","Single Sourced","1 & 2","200 KVA 3-3 UPS (TRANSFORMER BASED) 3 PHASE IN & OUT UPS SYSTEM","ETC/PPA","40 (1)b - Urgency","26th July, 2021","02nd August, 2021","Ghana Cedi","Gh¢385000.71","J-PROMPT SERVICES LIMITED","","","","-"
"Bank of Ghana","N/A","-","Single Sourced","N/A","PROCUREMENT OF VARIOUS MERCEDES BENZ VEHICLES FOR THE OPERATIONS OF THE BANK","ETC/PPA","40 (1)d - Standardization/Compatibility/Limited Size","30th March, 2021","29th November, 2021","Euro","€3002146.50","SILVER STAR AUTO LIMITED","","","","-"
"Bank of Ghana","N/A","-","Single Sourced","N/A","PROCUREMENT OF VARIOUS MERCEDES VEHICLE-TIPPER TRUCK  FOR THE OPERATIONS OF THE BANK","ETC/PPA","40 (1)d - Standardization/Compatibility/Limited Size","30th March, 2021","29th November, 2021","USA Dollar","$154361.76","SILVER STAR AUTO LIMITED","","","","-"
"Bank of Ghana","N/A","-","Single Sourced","N/A","PROCUREMENT OF FORKLIFTS FOR THE CURRENCY AIRLIFTING PROJECT","ETC/PPA","40 (1)b - Urgency","03rd August, 2021","21st October, 2021","Ghana Cedi","Gh¢341136.00","KENHAT COMPANY LIMITED","","","","-"
"Bank of Ghana","N/A","-","Single Sourced","N/A","Procurement of Cisco and Other ICT Equipment to Facilitate the Implementation of Pan-African Payment and Settlement System Project","ETC/PPA","40 (1)b - Urgency","24th September, 2021","29th December, 2021","Ghana Cedi","Gh¢2300383.11","APOTICA COMPANY LIMITED","","","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0005/12/65","-","Single Sourced","1","","Ministerial Tender Review Committee","-","24th July, 2013","18th September, 2013","Ghana Cedi","Gh¢667700.00","AMSOS GHANA LIMITED","","P.O.BOX 1821 CANTOMENTS,ACCRA","","-"
"Bank of Ghana","N/A","-","Single Sourced","N/A","PROCUREMENT OF VARIOUS DIARIES FOR 2022","ETC/PPA","40 (1)b - Urgency","19th October, 2021","18th January, 2022","Ghana Cedi","Gh¢929669.81","JIT MAGAZINE AND DIARIES SERVICES LTD","","","","-"
"Allied Health Professions Council- MOH","AHPC/2021/SS0/A.3/C23","-","Single Sourced","1","AWARD FOR THE SUPPLY OF ONE (1) TOYOTA HILUX","PPA/CTRC","40 (1)b - Urgency","12th October, 2021","11th November, 2021","Ghana Cedi","Gh¢306749.53","Sterling Automotive & Trading Co. LTD.","info@sterlin.com","n/a","n/a","-"
"Bank of Ghana","N/A","-","Single Sourced","N/A","Procurement of Hydraulic Pallet Loaders to facilitate Currency Airlift Project","ETC/PPA","40 (1)b - Urgency","11th October, 2021","10th February, 2022","Ghana Cedi","Gh¢2039700.00","NEL SUPPLIES LIMITED","","","","-"
"Bank of Ghana","N/A","-","Single Sourced","N/A","Procurement of Banknote Processing Systems (BPS) C2 Counting Machines","ETC/PPA","40 (1)a - Proprietary","21st July, 2021","20th September, 2021","Euro","€141440.00","Reigate Ghana Limited","josentim@reigateghana.com","n/a","n/a","-"
"Controller And Accountant General Department","GR/CAGD/GD/0005/12/69","-","Single Sourced","1","","Central Tender Review Committee","-","31st July, 2013","25th September, 2013","Ghana Cedi","Gh¢1750000.00","Bestas Press Limited","","P. O. Box AN 6045, Accra North","","-"
"St. Theresa's College of Education","VR/STCE/GD/0028/2021","-","Single Sourced","1","60TH ANNIVERSARY CELEBRATION CLOTH.","ETC/PPA","40 (1)d - Standardization/Compatibility/Limited Size","19th October, 2021","25th November, 2021","Ghana Cedi","Gh¢210800.00","Premium African Textiles Com. Limited","0","0","0","-"
"Middle Belt Development Authority","AS/MBDA/SS/WKS/014/2020","-","Single Sourced","1","Construction of 1 No. 10-seater water closet toilet at Drobonso for Sekyere Afram Plains constituency","ETC/PPA","40 (1)b - Urgency","22nd July, 2020","22nd January, 2021","Ghana Cedi","Gh¢171000.00","Gu manel Co Ltd","0","P. O. Box, Accra","0","-"
"Middle Belt Development Authority","BO/MBDA/SS/WKS/1223/20","-","Single Sourced","1","Construction of 1 No. 3-unit classroom block at Menji Islamic JHS for Tain Constituency","ETC/PPA","40 (1)b - Urgency","10th February, 2020","10th August, 2020","Ghana Cedi","Gh¢237500.00","Kabrima Company Limited","0","P. O. Box, Accra","0","-"
"Middle Belt Development Authority","AH/MBDA/SS/WKS/1417/2020","-","Single Sourced","1","Construction of 1 No.10 seater WC toilet at Bechem Presec for Tano South Constituency","ETC/PPA","40 (1)b - Urgency","03rd April, 2020","02nd October, 2020","Ghana Cedi","Gh¢171000.00","Joyway-Wadaada and sons company limited","0","P. O. Box, Accra","0","-"
"Middle Belt Development Authority","BO/MBDA/SS/WKS/1225/20","-","Single Sourced","1","Construction of 1 No.6-unit classroom block  at Nsawkaw Methodist Primary for  Tain Constituency","ETC/PPA","40 (1)b - Urgency","10th February, 2020","10th August, 2020","Ghana Cedi","Gh¢427500.00","Kabrima Company Limited","0","P. O. Box, Accra","0","-"
"Middle Belt Development Authority","BO/MBDA/SS/WKS/1227/20","-","Single Sourced","1","Construction of 11No. Hand pump boreholes at selected communities for Tain Constituency","ETC/PPA","40 (1)b - Urgency","08th May, 2020","06th November, 2020","Ghana Cedi","Gh¢209000.00","Kabrima Company Limited","0","P. O. Box, Accra","0","-"
