"Awarding Agency:","Tender Package No:","Tender Type:","Contract Type:","Lot #:","Tender Description:","Approval Auth:","Contract Date:","Delivery / Completion Date:","Contract Currency:","Contract Award Price:","Contract Awarded To:","Company Email:","Company Address:","Company Tel:","Supplier #:"
"Social Security and National Insurance Trust (SSNIT)","GR/SSNIT/GD/0025/2012","NCT","Open Tender","1","Photo Copy Machine - qty 11","Entity Tender Committee","14th September, 2012","14th November, 2012","Ghana Cedi","Gh¢22388.52","Oman Forfor","","P. O. Box 7101 Accra-North","","-"
"National Health Insurance Authority","GR/NHIA/GD/007B/13","NCT","Open Tender","2","STATIONERY","Entity Tender Committee","12th August, 2013","26th August, 2013","Ghana Cedi","Gh¢4075622.00","ostenfield limited","","P.O.BOX 347 TESHIE - NUNGUA ACCRA","","-"
"National Health Insurance Authority","GR/NHIA/GD/017/135","NCT","Open Tender","1","Supply and Installation of ICT Equipment and others (Lot 1-8)","Entity Tender Committee","14th November, 2013","-","Ghana Cedi","Gh¢76149148.00","FAIRGREEN","","NO 77 FAANOFA ROAD  BOX CT 124 KOKOMLEMLE ACCRA","","-"
"Ghana Shippers Authority","Lot 1 -GR/GHSC/GD/0003/2020, Lot 2 -GR/GHSC/TS/0002/2020, Lot 3-GR/GHSC/GD/0007/2020","NCT","Open Tender","3","The Ghana Shippers’ Authority invites sealed Tenders from eligible suppliers for the procurement of ICT Equipment and Office Items as detailed below;  Lot 1 Computer & Equipment  Lot 2 Security & Surveillance Systems  Lot 3 Supply of Furniture","Entity Tender Committee","25th February, 2021","25th February, 2021","Ghana Cedi","Gh¢127200.00","Jilac Logistics Company Limited","0","0","0","-"
"National Health Insurance Authority","GR/NHIA/GD/017/135","NCT","Open Tender","2","Supply and Installation of ICT Equipment and others (Lot 1-8)","Entity Tender Committee","31st October, 2013","30th November, 2013","Ghana Cedi","Gh¢67149313.00","IPMC","","P. O. Box AN7617 Accra-North Accra","","-"
"National Health Insurance Authority","GR/NHIA/GD/017/135","NCT","Open Tender","3","Supply and Installation of ICT Equipment and others (Lot 1-8)","Entity Tender Committee","31st October, 2013","30th November, 2013","Ghana Cedi","Gh¢4042278.00","IPMC","","P. O. Box AN7617 Accra-North Accra","","-"
"Koforidua Technical University","ER/KTUP/WK/0006/19","NCT","Open Tender","1","Rehabilitation of Staff Bungalow Nos. 1, 4, 7, 9 and 10 at Koforidua Technical University","Entity Tender Committee","12th June, 2019","23rd September, 2019","Ghana Cedi","Gh¢250600.00","FABMON LIMITED","","","","-"
"Koforidua Technical University","ER/KTU/WK/0012/19","NCT","Open Tender","1","Setting up of ICT Data Centre and Network Operating Centre (NOC) at Koforidua Technical University (Civil and Electrical Works)","Entity Tender Committee","09th December, 2019","06th March, 2020","Ghana Cedi","Gh¢367551.10","KATHAROS ENGINEERING LIMITED","","","","-"
"Koforidua Technical University","ER/KTUP/WK/0001/19","NCT","Open Tender","1","Conversion of Classroom Block to Laboratory for Faculty of Build and Natural Environment at Koforidua Technical University.","Entity Tender Committee","12th June, 2019","13th September, 2019","Ghana Cedi","Gh¢952165.75","BUSINESS ANGELS LIMITED","","","","-"
"Koforidua Technical University","ER/KTUP/WK/0004/19","NCT","Open Tender","1","Gas Supply System at CCB Facilities (Kitchen / Lab) at Koforidua Technical University, Koforidua.","Entity Tender Committee","12th June, 2019","30th September, 2019","Ghana Cedi","Gh¢400232.09","BENBURTO ENTERPRISES LIMITED","","","","-"
"National Health Insurance Authority","GR/NHIA/GD/017/135","NCT","Open Tender","4","Supply and Installation of ICT Equipment and others (Lot 1-8)","Entity Tender Committee","31st October, 2013","30th November, 2013","Ghana Cedi","Gh¢14486590.00","IPMC","","P. O. Box AN7617 Accra-North Accra","","-"
"Foods and Drugs Authority","FDA/PSD/2021/A.9/NCT-0001","NCT","Open Tender","1","Supply and Installation of servers for the Food and Drugs Authority.","Entity Tender Committee","11th March, 2021","11th March, 2023","Ghana Cedi","Gh¢793700.53","Mericom Solutions (Gh) Limited","gasiedu@mericomghana.com","P. O. Box CO 819, Tema, Ghana","0208134311","-"
"Ghana Audit Service","GR/AS/GD/KFW/0001/2020","NCT","Open Tender","4","Supply and Installation of Office Equipment","Entity Tender Committee","20th January, 2021","18th February, 2021","Ghana Cedi","Gh¢55000.00","MADSON JAPAN ENG (GH) LTD","","","","-"
"Ghana Audit Service","GR/AS/GD/KFW/0001/2020","NCT","Open Tender","5","Supply and Installation of Office Equipment","Entity Tender Committee","27th January, 2021","01st February, 2021","Ghana Cedi","Gh¢39235.00","ALSALE SERVICES LIMITED","","","","-"
"Ghana Audit Service","GR/AS/GD/KFW/0001/2020","NCT","Open Tender","2","Supply and Installation of Office Equipment","Entity Tender Committee","20th January, 2021","18th February, 2021","Ghana Cedi","Gh¢85800.00","MADSON JAPAN ENG (GH) LTD","","","","-"
"Ghana Audit Service","GR/AS/GD/KFW/0001/2020","NCT","Open Tender","1","Supply and Installation of Office Equipment","Entity Tender Committee","26th January, 2021","28th March, 2021","Ghana Cedi","Gh¢188800.00","DOCUTECH LIMITED","","","","-"
"Ghana Audit Service","GR/AS/GD/KFW/0001/2020","NCT","Open Tender","3","Supply and Installation of Office Equipment","Entity Tender Committee","26th January, 2021","28th March, 2021","Ghana Cedi","Gh¢108800.00","DOCUTECH LIMITED","","","","-"
"Ghana Audit Service","GR/AS/GD/0007/2020","NCT","Open Tender","2","Supply of Tyres and Batteries","Entity Tender Committee","14th January, 2021","05th February, 2021","Ghana Cedi","Gh¢66110.00","INFINITY TYRES GHANA LTD.","","","","-"
"Ghana Audit Service","GR/AS/GD/0007/2020","NCT","Open Tender","1","Supply of Tyres and Batteries","Entity Tender Committee","14th January, 2021","05th February, 2021","Ghana Cedi","Gh¢183250.00","INFINITY TYRES GHANA LTD.","","","","-"
"Ghana Audit Service","GR/AS/GD/0006/2020","NCT","Open Tender","1","Supply and Installation of Office Facilities","Entity Tender Committee","13th January, 2021","18th February, 2021","Ghana Cedi","Gh¢148500.00","MADSON JAPAN ENG (GH) LTD","","","","-"
"National Health Insurance Authority","GR/NHIA/GD/017/135","NCT","Open Tender","5","Supply and Installation of ICT Equipment and others (Lot 1-8)","Entity Tender Committee","14th November, 2013","14th December, 2013","Ghana Cedi","Gh¢23782370.00","FAIRGREEN LTD.","","NO. 77 FAANOFA ROAD BOX GP 579 TESHIE NUNGUA","","-"
"Ghana Audit Service","GR/AS/GD/0006/2020","NCT","Open Tender","2","Supply and Installation of Office Facilities","Entity Tender Committee","13th January, 2021","18th February, 2021","Ghana Cedi","Gh¢110000.00","MADSON JAPAN ENG (GH) LTD","","","","-"
"Ghana Audit Service","GR/AS/GD/0006/2020","NCT","Open Tender","3","Supply and Installation of Office Facilities","Entity Tender Committee","13th January, 2021","16th February, 2021","Ghana Cedi","Gh¢138500.00","MANJIGO COMPANY LIMITED","","","","-"
"Ghana Audit Service","GR/AS/GD/0006/2020","NCT","Open Tender","4","Supply and Installation of Office Facilities","Entity Tender Committee","12th January, 2021","11th February, 2021","Ghana Cedi","Gh¢21900.00","MANJIGO COMPANY LIMITED","","","","-"
"National Health Insurance Authority","GR/NHIA/GD/017/135","NCT","Open Tender","6","Supply and Installation of ICT Equipment and others (Lot 1-8)","Entity Tender Committee","14th November, 2013","14th December, 2013","Ghana Cedi","Gh¢857287.00","FAIRGREEN LTD.","","NO. 77 FAANOFA ROAD BOX GP 579 TESHIE NUNGUA","","-"
"National Health Insurance Authority","GR/NHIA/GD/017/135","NCT","Open Tender","7","Supply and Installation of ICT Equipment and others (Lot 1-8)","Entity Tender Committee","31st October, 2013","30th November, 2013","Ghana Cedi","Gh¢22655385.00","IPMC","","P. O. Box AN7617 Accra-North Accra","","-"
"National Health Insurance Authority","GR/NHIA/GD/017/135","NCT","Open Tender","8","Supply and Installation of ICT Equipment and others (Lot 1-8)","Entity Tender Committee","31st October, 2013","30th November, 2013","Ghana Cedi","Gh¢6700000.00","e- cube technologies","","P.O.BOX AT 1225 ACHIMOTA - ACCRA","","-"
"Ministry of Gender, Children and Social protection","GH-MOGCSP-150255-GO-RFB","NCT","Open Tender","lot 2","The Government of Ghana has received financing from the World Bank towards the cost of the Ghana Productive Safety Net Project (GPSNP), and intends to apply part of the proceeds towards payments under the contract for the Supply and Delivery of IT Hardware and Software. LOT ITEM DESCRIPTION QUANTITY  1 Desktop +UPS 6  Laptops 3  Server 1   2 Digital Camera 4  Video Camera 1  LCD Projector + Screen 5  Television 1   3 IP PaBX 1  Unified IP Phone 6  Mobile Phones 2  Headphones 6   4 Power Banks 600  Backpacks 600  Screen Protectors 1400    5 Anti-Virus software licenses 50  Data Analysis Software  1  Office Productivity Software 1  Virtualization Software 1","Entity Tender Committee","30th July, 2020","26th August, 2020","Ghana Cedi","Gh¢63515.90","MULTITHREAD ICT SOLUTIONS","","","","-"
"National Health Insurance Authority","GR/NHIA/GD/016/135","NCT","Open Tender","1","Supply of Office Furniture (Lot 1-3)","Entity Tender Committee","31st May, 2013","30th June, 2013","Ghana Cedi","Gh¢6927000.00","EXPERT FURNITURE LTD.","","P.O.BOX OS 3015 OSU- ACCRA","","-"
"Foods and Drugs Authority","FDA/PSD/2021/B.6/NCT-0016","NCT","Open Tender","1, 2,3 and 4","Engagement of a service provider for the design and production of customized clothing through National Competitive Tendering for the Food and Drugs Authority","Central Tender Review Committee","17th May, 2021","18th May, 2023","Ghana Cedi","Gh¢1051350.00","PEEVEE GLOBAL LIMITED","","","","-"
"Energy Commission","GR/ECOM/GD/VH/001/2012","NCT","Open Tender","1","Lot 1: Saloon Car 1.8ltr    Lot 2: Saloon Car 2.4ltr","Ministerial Tender Review Committee","06th August, 2012","03rd October, 2012","USA Dollar","$50000.00","Stelin Automative and Trading Company Limited","","P. O. Box AN 19941 Accra Ghana","","-"
"National Health Insurance Authority","GR/NHIA/GD/016/135","NCT","Open Tender","2","Supply of Office Furniture (Lot 1-3)","Entity Tender Committee","31st May, 2013","30th June, 2013","Ghana Cedi","Gh¢1323000.00","BENJE STANDARD FURNITURE","","P.O.BOX KN 2215 KANESHIE - ACCRA","","-"
"University Of Ghana (UG)","UG/GD/VEH/NCT/004/2020","NCT","Open Tender","Lot 2","Supply of Executive Saloon car","HEAD OF ENTITY","02nd February, 2021","04th February, 2021","Ghana Cedi","Gh¢330400.00","THE HONDA PLACE (GHANA) LIMITED","","","","-"
"Ministry of Roads and Highways","MRH/EU/ICB/OPBRC/TSIP/RC/P151026/P1/20","ICT","Open Tender","3","PROCUREMENT OF WORKS AND SERVICES UNDER OUTPUT AND PERFORMANCE BASED ROAD CONTRACT ON THE SLICE AND PACKAGE BASIS  The Government of the Republic of Ghana (GOG) has received  a Grant, for  the Additional Financing for the Ghana Transport Sector Improvement Project from the European Union through a Recipient Executed Trust Fund managed by the World Bank toward the cost of the Transport Sector Improvement Project (TSIP), and it intends to apply part of the proceeds of this  grant to payments under the the Output and Performance Based Road Contracts for the following lots  LOT 1: ICB No: MRH/EU/ICB/OPBRC/TSIP/RC/P151026/P1/LOT1/20: Selected Feeder and Farm Access roads in the Wa Municipal, Wa West and Nadwoli-Kaleo Districts (235.4km) in the Upper West Region of Ghana. LOT 2: ICB No: MRH/EU/ICB/OPBRC/TSIP/RC/P151026/P1/LOT2/20: Selected Feeder Roads and Farm access tracks in the Lawra, Jirapa and Daffiama-Issah-Bussie Districts (208.9km) in the Upper West Region of Ghana. LOT 3: ICB No: MRH/EU/ICB/OPBRC/TSIP/RC/P151026/P1/LOT1/20: Selected Feeder and Farm Access roads in the Nandom and Lambussie Districts (225.8km) in the Upper West Region of Ghana.","World Bank","24th May, 2021","31st December, 2024","Ghana Cedi","Gh¢59664973.50","ATTACHY CONSTRUCTION LIMITED","","","","-"
"Ministry of Roads and Highways","MRH/EU/ICB/OPBRC/TSIP/RC/P151026/P1/20","ICT","Open Tender","1","PROCUREMENT OF WORKS AND SERVICES UNDER OUTPUT AND PERFORMANCE BASED ROAD CONTRACT ON THE SLICE AND PACKAGE BASIS  The Government of the Republic of Ghana (GOG) has received  a Grant, for  the Additional Financing for the Ghana Transport Sector Improvement Project from the European Union through a Recipient Executed Trust Fund managed by the World Bank toward the cost of the Transport Sector Improvement Project (TSIP), and it intends to apply part of the proceeds of this  grant to payments under the the Output and Performance Based Road Contracts for the following lots  LOT 1: ICB No: MRH/EU/ICB/OPBRC/TSIP/RC/P151026/P1/LOT1/20: Selected Feeder and Farm Access roads in the Wa Municipal, Wa West and Nadwoli-Kaleo Districts (235.4km) in the Upper West Region of Ghana. LOT 2: ICB No: MRH/EU/ICB/OPBRC/TSIP/RC/P151026/P1/LOT2/20: Selected Feeder Roads and Farm access tracks in the Lawra, Jirapa and Daffiama-Issah-Bussie Districts (208.9km) in the Upper West Region of Ghana. LOT 3: ICB No: MRH/EU/ICB/OPBRC/TSIP/RC/P151026/P1/LOT1/20: Selected Feeder and Farm Access roads in the Nandom and Lambussie Districts (225.8km) in the Upper West Region of Ghana.","World Bank","30th April, 2021","31st December, 2024","Ghana Cedi","Gh¢72648997.50","Nag Fairmount Company Limited","0","0","0","-"
"National Health Insurance Authority","GR/NHIA/GD/016/135","NCT","Open Tender","3","Supply of Office Furniture (Lot 1-3)","Entity Tender Committee","31st May, 2013","30th June, 2013","Ghana Cedi","Gh¢4944000.00","pentax investments ltd.","","P.O.BOX LT 198 LATEBIOKORSHIE ACCRA","","-"
"Minerals Commission","GR/MCM/GD/0006/2013","NCT","Open Tender","1","Lot 1: Wall Calendar - qty 3000    Lot 2: Tle Top Calendar - qty 1000    Lot 3: Executive (Customised and Uncustomised) Diary - qty 300    Lot 4: Desk Top Diary - qty 1500    Lot 5; Pocket Diary - qty 1000","Entity Tender Committee","29th November, 2013","29th January, 2014","Ghana Cedi","Gh¢31740.00","Print Right Limited","","P. 0. B0X OS 049, ACCRA","","-"
"Cocoa Marketing Company (Ghana) Limited","CMC/PU/ADM/NCT/V.8/2020/01","NCT","Open Tender","1","Lot 1: 1800cc Saloon Car - Qty. 5 Units   Lot 2: Cross Country Vehicle - Qty. 1 Unit  Lot 3: Double Cabin Pick-up - Qty. 2 Units  Lot 4: 30-Seater High Roof Bus - Qty 2 Units  Lot 5: 10 Ton Truck - Qty 3 Units   Whole delivery within 90 days after award of contract","Central Tender Review Committee","15th April, 2021","15th July, 2021","Ghana Cedi","Gh¢1344000.00","STELIN AUTOMOTIVE AND TRADING COMPANY LIMITED","","","","-"
"Cocoa Marketing Company (Ghana) Limited","CMC/PU/ADM/NCT/V.8/2020/01","NCT","Open Tender","2","Lot 1: 1800cc Saloon Car - Qty. 5 Units   Lot 2: Cross Country Vehicle - Qty. 1 Unit  Lot 3: Double Cabin Pick-up - Qty. 2 Units  Lot 4: 30-Seater High Roof Bus - Qty 2 Units  Lot 5: 10 Ton Truck - Qty 3 Units   Whole delivery within 90 days after award of contract","Central Tender Review Committee","15th April, 2021","15th July, 2021","Ghana Cedi","Gh¢690000.00","STELIN AUTOMOTIVE AND TRADING COMPANY LIMITED","","","","-"
"Cocoa Marketing Company (Ghana) Limited","CMC/PU/ADM/NCT/V.8/2020/01","NCT","Open Tender","3","Lot 1: 1800cc Saloon Car - Qty. 5 Units   Lot 2: Cross Country Vehicle - Qty. 1 Unit  Lot 3: Double Cabin Pick-up - Qty. 2 Units  Lot 4: 30-Seater High Roof Bus - Qty 2 Units  Lot 5: 10 Ton Truck - Qty 3 Units   Whole delivery within 90 days after award of contract","Central Tender Review Committee","15th April, 2021","15th July, 2021","Ghana Cedi","Gh¢504000.00","STELIN AUTOMOTIVE AND TRADING COMPANY LIMITED","","","","-"
"Cocoa Marketing Company (Ghana) Limited","CMC/PU/ADM/NCT/V.8/2020/01","NCT","Open Tender","4","Lot 1: 1800cc Saloon Car - Qty. 5 Units   Lot 2: Cross Country Vehicle - Qty. 1 Unit  Lot 3: Double Cabin Pick-up - Qty. 2 Units  Lot 4: 30-Seater High Roof Bus - Qty 2 Units  Lot 5: 10 Ton Truck - Qty 3 Units   Whole delivery within 90 days after award of contract","Central Tender Review Committee","15th April, 2021","15th July, 2021","Ghana Cedi","Gh¢1020000.00","STELIN AUTOMOTIVE AND TRADING COMPANY LIMITED","","","","-"
"Cocoa Marketing Company (Ghana) Limited","CMC/PU/ADM/NCT/V.8/2020/01","NCT","Open Tender","5","Lot 1: 1800cc Saloon Car - Qty. 5 Units   Lot 2: Cross Country Vehicle - Qty. 1 Unit  Lot 3: Double Cabin Pick-up - Qty. 2 Units  Lot 4: 30-Seater High Roof Bus - Qty 2 Units  Lot 5: 10 Ton Truck - Qty 3 Units   Whole delivery within 90 days after award of contract","Central Tender Review Committee","15th April, 2021","15th July, 2021","Ghana Cedi","Gh¢1862778.80","SILVER STAR AUTO LIMITED","","","","-"
"Koforidua Technical University","ER/KTU/GD/0003/21","NCT","Open Tender","1","Supply and delivery of essential medicines to Koforidua Technical University.","ETC/PPA","24th May, 2021","10th June, 2021","Ghana Cedi","Gh¢132181.75","EASTERN CHEMISTS LIMITED","","","","-"
"Minerals Commission","GR/MCM/GD/0006/2013","NCT","Open Tender","4&5","Lot 1: Wall Calendar - qty 3000    Lot 2: Tle Top Calendar - qty 1000    Lot 3: Executive (Customised and Uncustomised) Diary - qty 300    Lot 4: Desk Top Diary - qty 1500    Lot 5; Pocket Diary - qty 1000","Entity Tender Committee","29th November, 2013","29th January, 2014","Ghana Cedi","Gh¢41000.00","below the line Ghana Limited","","","","-"
"Foods and Drugs Authority","FDA/PSD/2021/A.12.1/NCT-0002","NCT","Open Tender","1","Engagement of a service provider for the provision of catering services for the Food and Drugs Authority","HEAD OF ENTITY","30th April, 2021","30th April, 2023","Ghana Cedi","Gh¢0.00","Joy Oilfield Services Limited","0","P. O. BOX AX 1218","0","-"
"Cocoa Marketing Company (Ghana) Limited","CMC/PU/ADM/NCT/V.8/2020/01","NCT","Open Tender","5","Lot 1: 1800cc Saloon Car - Qty. 5 Units   Lot 2: Cross Country Vehicle - Qty. 1 Unit  Lot 3: Double Cabin Pick-up - Qty. 2 Units  Lot 4: 30-Seater High Roof Bus - Qty 2 Units  Lot 5: 10 Ton Truck - Qty 3 Units   Whole delivery within 90 days after award of contract","Central Tender Review Committee","15th April, 2021","15th July, 2021","Ghana Cedi","Gh¢1862778.80","SILVER STAR AUTO LIMITED","","","","-"
"University Of Education Winneba (UCEW)","UEW/CR/NCT/GDS/2013/04/03","NCT","Open Tender","3","Bid Security: GHÂ¢ 1000","Entity Tender Committee","20th September, 2013","25th November, 2013","Ghana Cedi","Gh¢85119.20","JIT Services Limited","","P. O. Box AO 667 Accra","","-"
"University Of Education Winneba (UCEW)","UEW/CR/NCT/GDS/2013/04/04","NCT","Open Tender","3","Bid Security: GHÂ¢ 1000  Wall Calenders: 3200 pieces  Desktop Calenders: 1950 pieces","Entity Tender Committee","20th September, 2013","19th December, 2013","Ghana Cedi","Gh¢22433.63","Sakoa Press Limited","","P. O. Box AN11590, Accra North","","-"
"Ministry of Health","MOH/2013/NCT/B.2/1/09","NCT","Open Tender","1","Procurement of Sulphadoxine/ Pyrimethamine Tablet, 500mg+25mg for Intermittent Preventive Treatment in Pregnancy","Entity Tender Committee","17th December, 2013","17th March, 2014","Ghana Cedi","Gh¢430000.00","Ernest Chemist Limited","","","","-"
"Ministry of Health","MOH/2013/NCT/B.2/1/09","NCT","Open Tender","1","Procurement of Sulphadoxine/ Pyrimethamine Tablet, 500mg+25mg for Intermittent Preventive Treatment in Pregnancy","Ministerial Tender Review Committee","17th December, 2013","06th April, 2014","Ghana Cedi","Gh¢460000.00","","","P.O. Box 3345, Accra Ghana","","-"
"Energy Commission","GR/ECOM/GD/VH/001/2012","NCT","Open Tender","2","Lot 1: Saloon Car 1.8ltr    Lot 2: Saloon Car 2.4ltr","Ministerial Tender Review Committee","06th August, 2012","03rd October, 2012","USA Dollar","$30500.00","Luxury Cars Gh. Ltd","","Plot No. B41 Lagos Street East Legon Accra","","-"
"Ghana Broadcasting Corporation","GR/GBC/GD/0017/2020","NCT","Open Tender","","PROCUREMENT FOR THE SUPPLY AND INSTALLATION OF TRAFFIC AND BILLING SOFTWARE","Entity Tender Committee","12th November, 2020","30th December, 2020","Ghana Cedi","Gh¢725200.00","Patedge Solutions","Patedgesolutions@gmail.com","n/a","n/a","-"
"Academy of Arts and Sciences-Ghana","","-","Open Tender","1(a) (b) (c)","Lot 1 (a) A4 Desk Diaries VIP @ 200 Qty Lot 1 (b) A5 Desk Diaries 2014 Day view @ 500Qty Lot 1 (c) Pocket Diaries 300","Entity Tender Committee","30th October, 2013","15th November, 2013","Ghana Cedi","Gh¢37100.00","Below The Line","","P. O. Box CT 5744 Accra","","-"
"Ghana Broadcasting Corporation","GR/GBC/GD/0012/2020","NCT","Open Tender","","PROCUREMENT FOR THE SUPPLY AND DELIVERY OF FM TRANSMITTERS","Entity Tender Committee","16th June, 2021","31st December, 2021","Ghana Cedi","Gh¢978583.00","Mumen Ghana Ltd","MumenGhana@gmail.com","n/a","n/a","-"
"Agona West Manucipal Assembly","CR/AWMA/GSCSP/UDG/WKS/NCT/002/LOT 1/2020","NCT","Open Tender","1","The Ministry of Local Government and Rural Development through the Government of the Republic of Ghana has received funds from the International Development Association (IDA) towards the cost of the Ghana Secondary Cities Support Program and intends to apply part of these funds to cover eligible payments for below project:  Bitumen Surfacing of Greenland Street in the Agona West Municipal PH.I (Km 0.00 - 0.70)","Regional Tender Review Committee","14th May, 2021","14th March, 2022","Ghana Cedi","Gh¢2284693.65","Johnson Aggrey Construction Limited","0","0","0","-"
"Agona West Manucipal Assembly","CR/AWMA/GSCSP/UDG/WKS/NCT/002/LOT 2/2020","NCT","Open Tender","2","Bitumen Surfacing of Greenland Street in the Agona West Municipal PH.II (KM 0.70 - 1.40)","Regional Tender Review Committee","14th May, 2021","14th March, 2022","Ghana Cedi","Gh¢2257557.02","Ga-Wayem Construction Limited","0","0","0","-"
"Agona West Manucipal Assembly","CR/AWMA/GSCSP/UDG/WKS/NCT/002/LOT 3/2020","NCT","Open Tender","3","The Ministry of Local Government and Rural Development through the Government of the Republic of Ghana has received funds from the International Development Association (IDA) towards the cost of the Ghana Secondary Cities Support Program and intends to apply part of these funds to cover eligible payments for Bitumen Surfacing of Selected Roads in the Agona West Municipal Assembly.  Bitumen Surfacing Of Falcon Street & Eduful Street in the Agona West Municipal (0.350km)","Regional Tender Review Committee","14th May, 2021","14th January, 2022","Ghana Cedi","Gh¢1157206.37","Start Water Company Limited","0","0","0","-"
"New Juaben South Municipal Assembly","ER/NJSMA/GSCSP /UDG/WKS/NCT/002/ Lot 1/2020","NCT","Open Tender","LOT  1","Precast Blocks Paving of 15,000m2 on Jackson Park with a Volley Ball Court (170m2) and a Basketball Court (480m2)","Regional Tender Review Committee","17th June, 2021","31st December, 2021","Ghana Cedi","Gh¢262473765.00","JABORAH CONSTRUCTION LIMITED","","","","-"
"New Juaben South Municipal Assembly","ER/NJSMA/GSCSP /UDG/WKS/NCT/002/ Lot 1/2020","NCT","Open Tender","LOT 2","Lot 1 Precast Blocks Paving of 15,000m2 on Jackson Park with 1no. volley ball court(170m2) and 1no basketball court(480m2) @ Jackson’s Park -Koforidua","Regional Tender Review Committee","17th June, 2021","31st December, 2021","Ghana Cedi","Gh¢338905439.00","PROCAL LINKS LIMITED","","","","-"
"New Juaben South Municipal Assembly","ER/NJSMA/GSCSP/UDG/WKS/NCT/002/Lot4/2020","NCT","Open Tender","LOT 4","Rehabilitation of street lights by replacing 500chokes,700N0 Sodium bulbs,300complete LED lamps 700 No inginate, 200pcs 16mm dia x 4 underground cable, 10No streetlight control panel to newly developed areas at Jackson’s Park","Entity Tender Committee","17th June, 2021","31st December, 2021","Ghana Cedi","Gh¢49995750.00","PREFOS LIMITED","","","","-"
"Birim Central Municipal Assembly","BCMA/GSCSP/UDG/WKS/NCT/Lot1/2020","NCT","Open Tender","LOT 1","Construction of 34 Lockable Market shops (Block A) and Waiting area (conference room, restaurant, offices) at Nkwantanum market -Oda","Regional Tender Review Committee","03rd September, 2020","30th July, 2021","Ghana Cedi","Gh¢2553376.06","KINGSPOK CONSTRUCTION WORKS LIMITED","","","","-"
"Birim Central Municipal Assembly","BCMA/GSCSP/UDG/WKS/NCT/Lot3/2020","NCT","Open Tender","LOT 3","Construction of 34 Lockable Market shops (Block C), Nursery, Washrooms and Sickbay at Nkwantanum market-Oda","Regional Tender Review Committee","11th September, 2020","31st August, 2021","Ghana Cedi","Gh¢2961660.60","SYNBECK GHANA LIMITED","","","","-"
"Birim Central Municipal Assembly","ER/BCMA/NCT/WK/001/2020","NCT","Open Tender","LOT 1","LOT 1:  CONSTRUCTION OF 1NO. 2-UNIT KINDERGARTEN BLOCK AT  GYADEM PRESBY PRIMARY SCHOOL, AKIM GYADEM  LOT 2: CONSTRUCTION OF 1NO. 2-UNIT KINDERGARTEN BLOCK AT WESLEY METHOSIDT PRIMARY SCHOOL, AKIM ODA   LOT 3: CONSTRUCTION OF 1NO. 6-UNIT CLASSROOM BLOCK AT OLD TOWN METHODIST PRIMARY SCHOOL AKIM ODA   LOT 4:  CONSTRUCTION OF 1NO. 6-UNIT YEBOAKROM PRIMARY SCHOOL AKIM ODA","Regional Tender Review Committee","07th April, 2021","31st January, 2022","Ghana Cedi","Gh¢3829932.28","NEW ERA DISCOVERY COMPANY LTD","","","","-"
"Birim Central Municipal Assembly","ER/BCMA/NCT/WK/003/20","NCT","Open Tender","LOT 2","LOT 1:  Construction of 1no. 2-unit kindergarten block with office, 2no. Store rooms, kitchen, 4no. W/C, bathroom, 76no. Chairs, 12no. Tables, 4no. Teacher’s chairs, Teacher’s table, poly tank and water and electricity connections at Eishada KG School - Oda  QUALIFICATION CLASS  D3K3  TENDER SECURITY 2% OF CONTRACT SUM  FUNDING DACF-RFG   LOT 2: Construction and Assembling of 128no. KG Tables, 768no. KG chairs and 300no. Dual Desk for Primary Schools Akim Oda  QUALIFICATION CLASS  D3K3  TENDER SECURITY 2% OF CONTRACT SUM  FUNDING DACF-RFG  LOT 2:  Supply and Installation of 40no. 250W complete LED streetlight Akim Oda TENDER SECURITY 2% OF CONTRACT SUM  FUNDING DACF-RFG","Regional Tender Review Committee","09th April, 2021","31st October, 2021","Ghana Cedi","Gh¢1704375.90","ALMUSCOM COMPANY LIMITED","","","","-"
"Kwame Nkrumah University Of Science And Technology (KNUST)","AS/KNUST/GD/0014/2013","NCT","Open Tender","1","Procurement of 15 Computers for the Department of Computer Engineering","Entity Tender Committee","09th January, 2014","23rd February, 2014","Ghana Cedi","Gh¢37914.61","AyTech Electricals Eng. Solutions Ltd","","P. O. Box AN 15657 ACCRA","","-"
"Kwame Nkrumah University Of Science And Technology (KNUST)","AS/KNUST/GD/0014/2013","NCT","Open Tender","1","Procurement of 15 Computers for the Department of Computer Engineering","Entity Tender Committee","09th January, 2014","23rd February, 2014","Ghana Cedi","Gh¢37914.61","AyTech Electricals Eng. Solutions Ltd","","P. O. Box AN 15657 ACCRA","","-"
"Ghana College of Physicians and Surgeons","GR/GCPS/GD/NCT/001/2020","NCT","Open Tender","1","SUV (4X4)   2. The College invites sealed Tenders from eligible tenderers for the Procurement of Vehicle (SUV).             Tendering will be conducted through the National Competitive Tendering (NCT)               procedures specified in the Public Procurement Act, Act 663 (2003) and as amended in               the Public Procurement Amended Act 914 (2016) and in the Guidelines of the Public              Procurement Authority (PPA) of the Republic of Ghana. 3. Interested eligible Tenderers may obtain further information from the College and inspect the Tender document at the Procurement Unit, from 9.00am to 4:00pm on Monday – Friday.","Entity Tender Committee","04th December, 2020","08th January, 2021","Ghana Cedi","Gh¢315921.00","UNIVERSAL MOTORS LIMITED","","","","-"
